Geography Type,Year,Geography,Total,Age 0-17,Age 18-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age 80+,Female,Male,Latinx,Asian Non-Latinx,Black Non-Latinx,White Non-Latinx,Population - Other Race Non-Latinx
Citywide,2020,Chicago,2699347,552668,548747,463143,336591,313865,255435,145426,83472,1388469,1310878,772791,182251.0,776470.0,900055,67780.0
ZIP Code,2020,60601,14513,825,4696,3048,1815,809,1974,1070,276,7894,6619,1242,3528.0,679.0,8614,450.0
ZIP Code,2020,60602,1596,115,332,860,191,81,17,0,0,744,852,120,435.0,37.0,794,210.0
ZIP Code,2020,60603,1186,15,423,248,68,176,146,91,19,560,626,62,397.0,29.0,692,6.0
ZIP Code,2020,60604,729,5,313,171,30,77,89,36,8,441,288,23,127.0,72.0,507,0.0
ZIP Code,2020,60605,30950,2608,8678,8486,3408,3377,2282,1702,409,16330,14620,2232,5648.0,4272.0,17704,1094.0
ZIP Code,2020,60606,3204,96,709,1169,475,373,264,118,0,1679,1525,152,1037.0,50.0,1835,130.0
ZIP Code,2020,60607,30306,3362,11381,7946,3004,2194,1315,561,543,14910,15396,2768,6415.0,3878.0,16068,1177.0
ZIP Code,2020,60608,80011,14068,20182,15269,10053,8276,7137,3407,1619,35434,44577,37287,11310.0,13763.0,16527,1124.0
ZIP Code,2020,60609,60551,15379,11640,8023,8382,6892,5364,3810,1061,30569,29982,31898,4332.0,14380.0,9321,620.0
ZIP Code,2020,60610,40954,3385,12949,8874,3303,3753,4522,2975,1193,21419,19535,2316,4169.0,5120.0,27733,1616.0
ZIP Code,2020,60611,33937,2127,8405,6959,3061,4126,4435,3468,1356,18054,15883,1946,7015.0,957.0,23261,758.0
ZIP Code,2020,60612,32240,6760,6933,5287,4255,3855,3051,1393,706,17225,15015,4749,1518.0,17357.0,7634,982.0
ZIP Code,2020,60613,51399,6285,14297,13342,5915,4930,3289,2065,1276,26339,25060,6166,3413.0,3170.0,36979,1671.0
ZIP Code,2020,60614,72391,10603,24659,14106,7173,6262,5552,2726,1310,36172,36219,4456,5249.0,2678.0,57985,2023.0
ZIP Code,2020,60615,41198,6110,11393,6135,4195,4609,4863,2440,1453,22639,18559,2258,3373.0,21733.0,11747,2087.0
ZIP Code,2020,60616,52557,7134,11280,8908,6237,7390,6164,2968,2476,27430,25127,4029,20303.0,12577.0,14378,1270.0
ZIP Code,2020,60617,82101,20843,13979,9578,10027,10431,8133,5569,3541,45093,37008,31311,194.0,45210.0,4830,556.0
ZIP Code,2020,60618,94646,20813,16088,20651,14846,9977,6466,4014,1791,47492,47154,37188,6237.0,2208.0,45370,3643.0
ZIP Code,2020,60619,61372,12667,9118,7547,6800,9223,8048,4472,3497,34416,26956,1050,173.0,58359.0,613,1177.0
ZIP Code,2020,60620,68761,16203,10753,7954,8243,9215,7759,5081,3553,37732,31029,1680,233.0,65198.0,797,853.0
ZIP Code,2020,60621,26736,7157,4311,2784,2662,3654,3236,1580,1352,14588,12148,908,131.0,24744.0,389,564.0
ZIP Code,2020,60622,52957,7103,14013,16274,6717,3990,2471,1373,1016,26139,26818,11265,2401.0,2833.0,34127,2331.0
