Unnamed: 0,Total Population,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,85 and Over,Median Age
    Estimate,"5,169,517","315,368","302,232","322,415","310,116","334,453","844,827","699,725","647,738","330,348","304,607","433,863","219,634","104,191",37.0
    Percent,"5,169,517",6.1%,5.8%,6.2%,6.0%,6.5%,16.3%,13.5%,12.5%,6.4%,5.9%,8.4%,4.2%,2.0%,(X)
    Estimate,"4,835,125","323,950","342,195","353,847","346,582","328,705","734,824","706,339","601,580","266,006","245,511","365,995","171,533","48,058",34.8
    Percent,"4,835,125",6.7%,7.1%,7.3%,7.2%,6.8%,15.2%,14.6%,12.4%,5.5%,5.1%,7.6%,3.5%,1.0%,(X)
    Estimate,"1,629,153","77,025","61,508","61,066","68,059","111,192","362,435","233,553","199,243","95,799","88,523","147,216","81,724","41,810",37.7
    Percent,"1,629,153",4.7%,3.8%,3.7%,4.2%,6.8%,22.2%,14.3%,12.2%,5.9%,5.4%,9.0%,5.0%,2.6%,(X)
    Estimate,"3,973,278","226,227","224,155","225,304","237,653","292,361","723,858","571,032","516,798","237,072","208,031","290,863","143,939","75,985",35.9
    Percent,"3,973,278",5.7%,5.6%,5.7%,6.0%,7.4%,18.2%,14.4%,13.0%,6.0%,5.2%,7.3%,3.6%,1.9%,(X)
    Estimate,"4,412,779","277,315","285,526","308,049","296,440","293,079","645,693","574,796","552,339","265,441","243,005","389,119","202,237","79,740",36.6
    Percent,"4,412,779",6.3%,6.5%,7.0%,6.7%,6.6%,14.6%,13.0%,12.5%,6.0%,5.5%,8.8%,4.6%,1.8%,(X)
