Unnamed: 0,Total Estimate,Male,Female
Workers 16 years and over,"2,508,211","1,305,661","1,202,550"
"        Car, truck, or van",67.7%,68.9%,66.4%
            Drove alone,59.9%,61.3%,58.4%
            Carpooled,7.8%,7.6%,8.0%
                In 2-person carpool,5.9%,5.7%,6.1%
                In 3-person carpool,1.1%,1.1%,1.1%
                In 4-or-more person carpool,0.8%,0.8%,0.8%
"            Workers per car, truck, or van",1.07,1.07,1.07
        Public transportation (excluding taxicab),17.8%,16.7%,19.0%
        Walked,4.1%,4.0%,4.2%
        Bicycle,1.0%,1.4%,0.6%
"        Taxicab, motorcycle, or other means",1.6%,1.5%,1.6%
        Worked from home,7.8%,7.5%,8.1%
Workers 16 years and over,"2,209,641","1,227,892","981,749"
"        Car, truck, or van",88.1%,89.0%,87.0%
            Drove alone,78.0%,79.1%,76.7%
            Carpooled,10.1%,9.9%,10.2%
                In 2-person carpool,7.4%,7.1%,7.7%
                In 3-person carpool,1.6%,1.6%,1.6%
                In 4-or-more person carpool,1.1%,1.2%,1.0%
"            Workers per car, truck, or van",1.07,1.07,1.07
        Public transportation (excluding taxicab),2.4%,2.0%,2.8%
        Walked,1.4%,1.4%,1.4%
        Bicycle,0.3%,0.4%,0.1%
"        Taxicab, motorcycle, or other means",1.6%,1.7%,1.5%
        Worked from home,6.2%,5.4%,7.2%
Workers 16 years and over,"2,100,872","1,132,945","967,927"
"        Car, truck, or van",84.4%,84.8%,83.9%
            Drove alone,73.7%,74.5%,72.8%
            Carpooled,10.7%,10.4%,11.1%
                In 2-person carpool,8.2%,7.9%,8.5%
                In 3-person carpool,1.6%,1.5%,1.7%
                In 4-or-more person carpool,1.0%,1.0%,0.9%
"            Workers per car, truck, or van",1.08,1.07,1.08
        Public transportation (excluding taxicab),1.8%,1.7%,1.8%
        Walked,1.5%,1.5%,1.4%
        Bicycle,0.7%,0.9%,0.4%
"        Taxicab, motorcycle, or other means",1.8%,2.2%,1.4%
        Worked from home,9.8%,8.8%,11.0%
