Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"455,959","226,496","229,463"
        Less than high school graduate,"53,361","30,020","23,341"
        High school graduate (includes equivalency),"128,409","69,900","58,509"
        Some college or associate's degree,"191,084","90,133","100,951"
        Bachelor's degree or higher,"83,105","36,443","46,662"
    Population 25 years and over,"3,584,933","1,709,249","1,875,684"
        Less than 9th grade,"224,447","107,559","116,888"
"        9th to 12th grade, no diploma","217,601","112,010","105,591"
        High school graduate (includes equivalency),"811,264","404,174","407,090"
"        Some college, no degree","660,139","313,547","346,592"
        Associate's degree,"238,063","101,405","136,658"
        Bachelor's degree,"846,361","405,178","441,183"
        Graduate or professional degree,"587,058","265,376","321,682"
        High school graduate or higher,"3,142,885","1,489,680","1,653,205"
        Bachelor's degree or higher,"1,433,419","670,554","762,865"
    Population 25 to 34 years,"844,827","421,984","422,843"
        High school graduate or higher,"791,200","391,454","399,746"
        Bachelor's degree or higher,"433,838","205,301","228,537"
    Population 35 to 44 years,"699,725","347,357","352,368"
        High school graduate or higher,"624,237","306,143","318,094"
        Bachelor's degree or higher,"311,100","143,780","167,320"
    Population 45 to 64 years,"1,282,693","619,911","662,782"
        High school graduate or higher,"1,107,252","529,938","577,314"
        Bachelor's degree or higher,"462,398","214,515","247,883"
    Population 65 years and over,"757,688","319,997","437,691"
        High school graduate or higher,"620,196","262,145","358,051"
        Bachelor's degree or higher,"226,083","106,958","119,125"
    Population 18 to 24 years,"435,750","221,736","214,014"
        Less than high school graduate,"71,828","40,706","31,122"
        High school graduate (includes equivalency),"140,708","78,510","62,198"
        Some college or associate's degree,"177,602","83,928","93,674"
        Bachelor's degree or higher,"45,612","18,592","27,020"
    Population 25 years and over,"2,995,908","1,466,952","1,528,956"
        Less than 9th grade,"305,321","158,660","146,661"
"        9th to 12th grade, no diploma","238,790","125,446","113,344"
        High school graduate (includes equivalency),"683,675","340,257","343,418"
"        Some college, no degree","588,600","280,216","308,384"
        Associate's degree,"212,930","97,693","115,237"
        Bachelor's degree,"613,469","292,243","321,226"
        Graduate or professional degree,"353,123","172,437","180,686"
        High school graduate or higher,"2,451,797","1,182,846","1,268,951"
        Bachelor's degree or higher,"966,592","464,680","501,912"
    Population 25 to 34 years,"753,626","381,052","372,574"
        High school graduate or higher,"658,880","325,897","332,983"
        Bachelor's degree or higher,"261,333","118,353","142,980"
    Population 35 to 44 years,"669,099","336,967","332,132"
        High school graduate or higher,"544,327","267,207","277,120"
        Bachelor's degree or higher,"226,400","104,254","122,146"
    Population 45 to 64 years,"1,081,793","531,337","550,456"
