Income Grouping,Illinois Households,Illinois Families,Illinois Married-couple Households,Illinois Nonfamily Households,Chicago Metro Households,Chicago Metro Families,Chicago Metro Married-couple Households,Chicago Metro Nonfamily Households,Age,Texas Total,Texas Labor Force Participation,Texas Employment/Population Ratio,Texas Unemployment Rate,Houston Metro Total,Houston Metro Labor Force Participation,Houston Metro Employment/Population Ratio,Houston Metro Unemployment Rate,Label/Group,California Total Estimate,California Labor Force Participation Rate,California Employment/Population Ratio,California Unemployment Rate,Los Angeles City Total Estimate,Los Angeles City Labor Force Participation Rate,Los Angeles City Employment/Population Ratio,Los Angeles City Unemployment Rate,"Philadelphia city, Pennsylvania!!Total!!Estimate",Philadelphia Labor Force Participation Rate,Philadelphia Employment/Population Ratio,Philadelphia Unemployment rate,"Phoenix city, Arizona!!Total!!Estimate",Phoenix Labor Force Participation Rate,Phoenix Employment/Population Ratio,Phoenix Unemployment rate
Total,"4,884,061","3,116,415","2,301,114","1,767,646","3,548,735","2,288,602","1,671,999","1,260,133",,,,,,,,,,,,,,,,,,,,,,,,,,
"    Less than $10,000",6.1%,3.3%,1.2%,11.9%,5.8%,3.3%,1.1%,11.2%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $10,000 to $14,999",3.7%,2.0%,0.9%,7.0%,3.3%,1.8%,0.8%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $15,000 to $24,999",8.1%,5.3%,2.8%,13.8%,7.3%,4.9%,2.7%,12.3%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $25,000 to $34,999",8.1%,6.3%,4.3%,11.7%,7.4%,6.0%,4.0%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $35,000 to $49,999",11.2%,10.0%,8.2%,13.7%,10.4%,9.2%,7.2%,12.9%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $50,000 to $74,999",16.7%,16.3%,15.4%,17.2%,16.0%,15.1%,13.7%,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $75,000 to $99,999",12.9%,14.2%,15.2%,9.9%,12.8%,13.5%,14.1%,11.2%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $100,000 to $149,999",16.6%,20.5%,24.1%,8.7%,17.5%,21.0%,24.3%,10.4%,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $150,000 to $199,999",7.8%,10.2%,12.7%,3.0%,8.7%,11.2%,13.9%,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,
