Unnamed: 0,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other
    Estimate,"5,169,517","3,041,776","1,263,902","43,551","445,203","6,818","640,553"
    Percent,"5,169,517",58.8%,24.4%,0.8%,8.6%,0.1%,12.4%
    Estimate,"4,835,125","2,666,766","1,046,412","141,031","409,092","12,471","1,722,952"
    Percent,"4,835,125",55.2%,21.6%,2.9%,8.5%,0.3%,35.6%
    Estimate,"3,973,278","2,187,180","401,039","62,817","541,935","18,525","1,058,349"
    Percent,"3,973,278",55.0%,10.1%,1.6%,13.6%,0.5%,26.6%
    Estimate,"1,629,153","976,633","276,040","23,168","225,191","2,816","235,303"
    Percent,"1,629,153",59.9%,16.9%,1.4%,13.8%,0.2%,14.4%
    Estimate,"4,412,779","3,542,986","316,952","129,795","247,355","21,817","487,245"
    Percent,"4,412,779",80.3%,7.2%,2.9%,5.6%,0.5%,11.0%
