Unnamed: 0,Household,Families,Married-couple Households,Nonfamily Households,Age Group,Total,Labor Force Participation,Employment Population Ratio,Unemployment Rate
Total,"1,991,474","1,183,425","807,194","808,049",,,,,
"    Less than $10,000",7.1%,4.0%,1.4%,12.2%,,,,,
"    $10,000 to $14,999",3.8%,2.2%,1.1%,6.5%,,,,,
"    $15,000 to $24,999",8.3%,6.1%,3.5%,12.0%,,,,,
"    $25,000 to $34,999",8.1%,7.1%,5.0%,9.9%,,,,,
"    $35,000 to $49,999",10.8%,10.2%,7.9%,11.9%,,,,,
"    $50,000 to $74,999",15.9%,15.2%,13.8%,16.9%,,,,,
"    $75,000 to $99,999",12.3%,12.8%,13.4%,11.2%,,,,,
"    $100,000 to $149,999",15.9%,18.8%,22.1%,10.9%,,,,,
"    $150,000 to $199,999",7.9%,10.1%,13.1%,4.1%,,,,,
"    $200,000 or more",10.1%,13.6%,18.6%,4.4%,,,,,
Median income (dollars),"67,886","84,500","107,233","46,401",,,,,
Mean income (dollars),"99,255","118,875","144,483","67,333",,,,,
,,,,,Population 16 years and over,"3,565,983",67.4%,63.2%,6.2%
,,,,,        16 to 19 years,"253,685",31.8%,25.2%,20.6%
,,,,,        20 to 24 years,"316,390",73.3%,65.1%,10.9%
,,,,,        25 to 29 years,"380,200",81.6%,76.4%,6.2%
,,,,,        30 to 34 years,"373,426",82.3%,77.5%,5.6%
,,,,,        35 to 44 years,"669,099",82.2%,78.0%,5.0%
,,,,,        45 to 54 years,"581,186",80.9%,77.1%,4.6%
,,,,,        55 to 59 years,"267,578",73.4%,70.2%,4.4%
,,,,,        60 to 64 years,"233,029",62.3%,59.4%,4.6%
,,,,,        65 to 74 years,"308,134",30.9%,29.4%,5.0%
,,,,,        75 years and over,"183,256",9.3%,9.0%,3.8%
,,,,,        White alone,"2,050,513",67.2%,63.5%,5.3%
,,,,,        Black or African American alone,"679,737",67.7%,61.0%,9.6%
,,,,,        American Indian and Alaska Native alone,"15,406",66.7%,61.5%,7.6%
,,,,,        Asian alone,"270,555",65.0%,62.2%,4.3%
,,,,,        Native Hawaiian and Other Pacific Islander alone,"2,304",64.5%,60.6%,5.5%
,,,,,        Some other race alone,"315,903",68.9%,65.1%,5.5%
,,,,,        Two or more races,"231,565",69.8%,64.9%,7.0%
,,,,,        Hispanic or Latino origin (of any race),"1,430,711",69.1%,64.9%,5.9%
,,,,,"        White alone, not Hispanic or Latino","1,128,825",65.7%,62.4%,4.8%
,,,,,Population 20 to 64 years,"2,820,908",78.4%,73.8%,5.7%
,,,,,        Male,"1,409,352",86.8%,81.8%,5.5%
