Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"455,959","226,496","229,463"
        Less than high school graduate,"53,361","30,020","23,341"
        High school graduate (includes equivalency),"128,409","69,900","58,509"
        Some college or associate's degree,"191,084","90,133","100,951"
        Bachelor's degree or higher,"83,105","36,443","46,662"
    Population 25 years and over,"3,584,933","1,709,249","1,875,684"
        Less than 9th grade,"224,447","107,559","116,888"
"        9th to 12th grade, no diploma","217,601","112,010","105,591"
        High school graduate (includes equivalency),"811,264","404,174","407,090"
"        Some college, no degree","660,139","313,547","346,592"
        Associate's degree,"238,063","101,405","136,658"
        Bachelor's degree,"846,361","405,178","441,183"
        Graduate or professional degree,"587,058","265,376","321,682"
        High school graduate or higher,"3,142,885","1,489,680","1,653,205"
        Bachelor's degree or higher,"1,433,419","670,554","762,865"
    Population 25 to 34 years,"844,827","421,984","422,843"
        High school graduate or higher,"791,200","391,454","399,746"
        Bachelor's degree or higher,"433,838","205,301","228,537"
    Population 35 to 44 years,"699,725","347,357","352,368"
        High school graduate or higher,"624,237","306,143","318,094"
        Bachelor's degree or higher,"311,100","143,780","167,320"
    Population 45 to 64 years,"1,282,693","619,911","662,782"
        High school graduate or higher,"1,107,252","529,938","577,314"
        Bachelor's degree or higher,"462,398","214,515","247,883"
    Population 65 years and over,"757,688","319,997","437,691"
        High school graduate or higher,"620,196","262,145","358,051"
        Bachelor's degree or higher,"226,083","106,958","119,125"
