"Label (Grouping)","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Illinois!!Male!!Estimate","Illinois!!Male!!Margin of Error","Illinois!!Percent Male!!Estimate","Illinois!!Percent Male!!Margin of Error","Illinois!!Female!!Estimate","Illinois!!Female!!Margin of Error","Illinois!!Percent Female!!Estimate","Illinois!!Percent Female!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Male!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Male!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Male!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Male!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Female!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Female!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Female!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","1,174,031","±964","(X)","(X)","597,348","±710","(X)","(X)","576,683","±690","(X)","(X)","855,944","±551","(X)","(X)","433,876","±276","(X)","(X)","422,068","±448","(X)","(X)"
"        Less than high school graduate","138,521","±2,960","11.8%","±0.3","78,436","±2,146","13.1%","±0.4","60,085","±2,126","10.4%","±0.4","100,781","±2,666","11.8%","±0.3","56,432","±1,730","13.0%","±0.4","44,349","±2,071","10.5%","±0.5"
"        High school graduate (includes equivalency)","352,546","±3,753","30.0%","±0.3","197,183","±3,209","33.0%","±0.5","155,363","±2,925","26.9%","±0.5","262,541","±3,492","30.7%","±0.4","144,304","±2,915","33.3%","±0.7","118,237","±2,477","28.0%","±0.6"
"        Some college or associate's degree","513,656","±4,458","43.8%","±0.4","248,837","±3,286","41.7%","±0.5","264,819","±2,990","45.9%","±0.5","355,685","±4,060","41.6%","±0.5","173,489","±2,826","40.0%","±0.6","182,196","±2,849","43.2%","±0.7"
"        Bachelor's degree or higher","169,308","±2,909","14.4%","±0.2","72,892","±1,929","12.2%","±0.3","96,416","±1,932","16.7%","±0.3","136,937","±2,373","16.0%","±0.3","59,651","±1,702","13.7%","±0.4","77,286","±1,688","18.3%","±0.4"
"    Population 25 years and over","8,686,700","±1,237","(X)","(X)","4,192,319","±1,155","(X)","(X)","4,494,381","±938","(X)","(X)","6,462,467","±555","(X)","(X)","3,105,898","±367","(X)","(X)","3,356,569","±488","(X)","(X)"
"        Less than 9th grade","401,341","±5,294","4.6%","±0.1","197,335","±3,442","4.7%","±0.1","204,006","±3,465","4.5%","±0.1","345,231","±5,174","5.3%","±0.1","168,905","±3,364","5.4%","±0.1","176,326","±3,444","5.3%","±0.1"
"        9th to 12th grade, no diploma","496,997","±6,148","5.7%","±0.1","265,503","±3,921","6.3%","±0.1","231,494","±4,026","5.2%","±0.1","355,992","±5,052","5.5%","±0.1","186,415","±3,591","6.0%","±0.1","169,577","±3,322","5.1%","±0.1"
"        High school graduate (includes equivalency)","2,220,409","±13,378","25.6%","±0.2","1,114,407","±8,877","26.6%","±0.2","1,106,002","±7,946","24.6%","±0.2","1,523,101","±10,993","23.6%","±0.2","759,600","±7,502","24.5%","±0.2","763,501","±6,550","22.7%","±0.2"
"        Some college, no degree","1,775,548","±9,411","20.4%","±0.1","851,129","±6,293","20.3%","±0.2","924,419","±6,886","20.6%","±0.2","1,247,436","±9,140","19.3%","±0.1","595,474","±6,261","19.2%","±0.2","651,962","±5,975","19.4%","±0.2"
"        Associate's degree","707,131","±5,920","8.1%","±0.1","310,664","±3,706","7.4%","±0.1","396,467","±4,691","8.8%","±0.1","469,465","±5,095","7.3%","±0.1","203,444","±3,475","6.6%","±0.1","266,021","±3,893","7.9%","±0.1"
"        Bachelor's degree","1,875,011","±11,436","21.6%","±0.1","895,556","±7,523","21.4%","±0.2","979,455","±6,942","21.8%","±0.2","1,525,135","±9,793","23.6%","±0.2","733,146","±5,981","23.6%","±0.2","791,989","±6,745","23.6%","±0.2"
"        Graduate or professional degree","1,210,263","±10,235","13.9%","±0.1","557,725","±5,437","13.3%","±0.1","652,538","±6,718","14.5%","±0.1","996,107","±8,528","15.4%","±0.1","458,914","±4,749","14.8%","±0.2","537,193","±5,934","16.0%","±0.2"
"        High school graduate or higher","7,788,362","±7,890","89.7%","±0.1","3,729,481","±4,927","89.0%","±0.1","4,058,881","±5,459","90.3%","±0.1","5,761,244","±6,569","89.1%","±0.1","2,750,578","±4,255","88.6%","±0.1","3,010,666","±4,742","89.7%","±0.1"
"        Bachelor's degree or higher","3,085,274","±15,454","35.5%","±0.2","1,453,281","±8,600","34.7%","±0.2","1,631,993","±9,715","36.3%","±0.2","2,521,242","±12,790","39.0%","±0.2","1,192,060","±7,252","38.4%","±0.2","1,329,182","±8,536","39.6%","±0.3"
"    Population 25 to 34 years","1,763,829","±1,293","(X)","(X)","892,037","±1,043","(X)","(X)","871,792","±754","(X)","(X)","1,364,955","±698","(X)","(X)","686,140","±497","(X)","(X)","678,815","±440","(X)","(X)"
"        High school graduate or higher","1,642,258","±3,032","93.1%","±0.1","819,672","±2,238","91.9%","±0.2","822,586","±1,776","94.4%","±0.2","1,274,477","±2,344","93.4%","±0.2","634,174","±1,808","92.4%","±0.3","640,303","±1,582","94.3%","±0.2"
"        Bachelor's degree or higher","754,461","±6,184","42.8%","±0.4","347,435","±4,197","38.9%","±0.5","407,026","±3,648","46.7%","±0.4","637,338","±5,405","46.7%","±0.4","296,730","±3,437","43.2%","±0.5","340,608","±3,509","50.2%","±0.5"
"    Population 35 to 44 years","1,638,700","±1,206","(X)","(X)","818,788","±918","(X)","(X)","819,912","±565","(X)","(X)","1,260,820","±609","(X)","(X)","625,801","±451","(X)","(X)","635,019","±348","(X)","(X)"
