"Label (Grouping)","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Labor Force Participation Rate!!Estimate","Illinois!!Labor Force Participation Rate!!Margin of Error","Illinois!!Employment/Population Ratio!!Estimate","Illinois!!Employment/Population Ratio!!Margin of Error","Illinois!!Unemployment rate!!Estimate","Illinois!!Unemployment rate!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Labor Force Participation Rate!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Labor Force Participation Rate!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Employment/Population Ratio!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Employment/Population Ratio!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Unemployment rate!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Unemployment rate!!Margin of Error"
"Population 16 years and over","10,193,604","±2,843","65.2%","±0.1","61.2%","±0.1","6.0%","±0.1","7,572,022","±2,220","66.9%","±0.1","62.6%","±0.1","6.2%","±0.1"
"    AGE","","","","","","","","","","","","","","","",""
"        16 to 19 years","662,629","±2,868","40.1%","±0.4","32.4%","±0.4","18.1%","±0.6","491,955","±2,371","38.2%","±0.5","30.5%","±0.5","19.0%","±0.7"
"        20 to 24 years","844,275","±1,252","75.6%","±0.4","66.8%","±0.4","11.0%","±0.3","617,600","±624","76.5%","±0.4","66.7%","±0.5","12.0%","±0.4"
"        25 to 29 years","896,223","±929","85.1%","±0.3","79.1%","±0.4","6.7%","±0.3","691,955","±452","85.8%","±0.3","79.6%","±0.4","6.8%","±0.3"
"        30 to 34 years","867,606","±919","85.6%","±0.3","80.9%","±0.3","5.2%","±0.2","673,000","±577","86.2%","±0.3","81.4%","±0.4","5.2%","±0.3"
"        35 to 44 years","1,638,700","±1,206","85.0%","±0.2","80.9%","±0.3","4.6%","±0.2","1,260,820","±609","85.5%","±0.2","81.5%","±0.3","4.6%","±0.2"
"        45 to 54 years","1,636,992","±871","83.0%","±0.2","79.2%","±0.2","4.5%","±0.2","1,243,961","±473","83.8%","±0.2","79.9%","±0.3","4.7%","±0.2"
"        55 to 59 years","864,033","±5,965","75.2%","±0.3","71.8%","±0.3","4.5%","±0.2","639,077","±4,469","76.5%","±0.4","72.7%","±0.4","5.0%","±0.3"
"        60 to 64 years","792,720","±6,040","59.3%","±0.5","56.7%","±0.5","4.3%","±0.2","570,387","±4,489","61.3%","±0.6","58.5%","±0.6","4.6%","±0.3"
"        65 to 74 years","1,146,641","±860","27.1%","±0.3","26.1%","±0.3","3.8%","±0.3","808,813","±556","28.8%","±0.4","27.6%","±0.4","4.1%","±0.4"
"        75 years and over","843,785","±570","6.8%","±0.2","6.6%","±0.2","3.2%","±0.5","574,454","±358","6.9%","±0.3","6.6%","±0.3","3.4%","±0.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","",""
"        White alone","7,275,227","±8,188","65.2%","±0.1","62.1%","±0.1","4.6%","±0.1","4,936,393","±8,124","67.4%","±0.1","64.1%","±0.2","4.6%","±0.1"
"        Black or African American alone","1,409,800","±3,471","61.0%","±0.3","52.6%","±0.3","13.5%","±0.4","1,229,650","±3,023","61.9%","±0.4","53.3%","±0.3","13.6%","±0.4"
"        American Indian and Alaska Native alone","26,673","±1,687","64.6%","±2.0","59.1%","±2.0","7.5%","±1.5","22,165","±1,640","68.1%","±2.0","62.9%","±2.0","6.9%","±1.6"
"        Asian alone","582,352","±2,742","66.7%","±0.5","63.9%","±0.4","4.1%","±0.3","528,078","±2,592","67.3%","±0.5","64.4%","±0.5","4.1%","±0.3"
"        Native Hawaiian and Other Pacific Islander alone","4,226","±477","72.6%","±4.6","70.2%","±4.8","2.8%","±3.1","3,103","±405","71.9%","±5.4","70.2%","±5.5","1.8%","±1.6"
"        Some other race alone","558,588","±8,374","71.4%","±0.5","66.9%","±0.5","6.2%","±0.4","560,294","±8,776","70.9%","±0.5","66.5%","±0.5","6.1%","±0.3"
"        Two or more races","336,738","±7,590","70.5%","±0.7","64.3%","±0.9","8.5%","±0.7","292,339","±6,895","71.3%","±0.8","65.1%","±1.0","8.4%","±0.8"
"        Hispanic or Latino origin (of any race)","1,571,427","±1,389","71.0%","±0.3","66.2%","±0.3","6.5%","±0.2","1,517,804","±1,307","71.0%","±0.3","66.4%","±0.3","6.3%","±0.3"
"        White alone, not Hispanic or Latino","6,462,987","±2,414","64.6%","±0.1","61.6%","±0.1","4.4%","±0.1","4,172,727","±2,161","66.8%","±0.2","63.8%","±0.2","4.3%","±0.1"
"Population 20 to 64 years","7,540,549","±1,523","79.8%","±0.1","75.2%","±0.1","5.6%","±0.1","5,696,800","±805","80.9%","±0.1","76.0%","±0.2","5.8%","±0.1"
"    SEX","","","","","","","","","","","","","","","",""
"        Male","3,752,123","±1,180","83.9%","±0.1","78.8%","±0.2","5.7%","±0.1","2,818,467","±457","85.9%","±0.2","80.6%","±0.2","5.8%","±0.2"
"        Female","3,788,426","±1,103","75.7%","±0.2","71.5%","±0.2","5.4%","±0.1","2,878,333","±541","75.9%","±0.2","71.5%","±0.2","5.7%","±0.1"
"            With own children under 18 years","1,321,316","±8,652","76.6%","±0.3","72.5%","±0.3","5.4%","±0.2","1,005,052","±7,324","75.0%","±0.4","70.7%","±0.4","5.7%","±0.3"
"                With own children under 6 years only","293,860","±5,480","75.4%","±0.6","70.5%","±0.7","6.5%","±0.5","223,948","±4,922","73.9%","±0.8","68.7%","±0.9","7.0%","±0.6"
"                With own children under 6 years and 6 to 17  years","261,552","±3,446","69.3%","±0.7","64.7%","±0.8","6.5%","±0.5","191,818","±3,104","67.2%","±0.9","62.5%","±1.0","6.9%","±0.7"
"                With own children 6 to 17 years only","765,904","±6,186","79.6%","±0.3","75.9%","±0.4","4.6%","±0.2","589,286","±5,125","78.0%","±0.4","74.2%","±0.4","4.9%","±0.3"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","",""
"        Below poverty level","817,715","±9,679","50.9%","±0.5","38.0%","±0.4","25.3%","±0.6","565,153","±8,385","50.7%","±0.6","37.0%","±0.5","27.0%","±0.7"
"        At or above the poverty level","6,589,452","±9,924","84.6%","±0.1","81.0%","±0.1","4.1%","±0.1","5,067,778","±8,278","84.9%","±0.1","81.1%","±0.1","4.4%","±0.1"
"    DISABILITY STATUS","","","","","","","","","","","","","","","",""
"        With any disability","656,587","±6,161","45.2%","±0.5","39.1%","±0.6","13.4%","±0.5","441,553","±5,578","46.5%","±0.7","39.7%","±0.7","14.5%","±0.7"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","6,696,274","±1,468","80.3%","±0.1","76.2%","±0.1","4.9%","±0.1","5,079,200","±749","81.4%","±0.1","77.1%","±0.2","5.1%","±0.1"
"        Less than high school graduate","620,914","±6,850","62.3%","±0.5","56.6%","±0.5","9.2%","±0.4","491,525","±5,508","65.3%","±0.5","59.8%","±0.5","8.4%","±0.4"
"        High school graduate (includes equivalency)","1,575,707","±12,099","74.0%","±0.3","68.6%","±0.3","7.2%","±0.2","1,114,057","±9,779","75.0%","±0.3","69.2%","±0.4","7.6%","±0.3"
"        Some college or associate's degree","1,960,292","±10,626","81.2%","±0.2","76.7%","±0.2","5.2%","±0.2","1,370,596","±10,001","82.0%","±0.3","77.1%","±0.3","5.8%","±0.2"
"        Bachelor's degree or higher","2,539,361","±13,178","87.9%","±0.2","85.3%","±0.2","2.8%","±0.1","2,103,022","±11,090","88.1%","±0.2","85.4%","±0.2","3.0%","±0.1"
