"Label (Grouping)","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Below poverty level!!Estimate","Illinois!!Below poverty level!!Margin of Error","Illinois!!Percent below poverty level!!Estimate","Illinois!!Percent below poverty level!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Below poverty level!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Below poverty level!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent below poverty level!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","12,418,504","±2,377","1,488,670","±18,242","12.0%","±0.1","9,319,224","±3,122","1,052,416","±15,120","11.3%","±0.2"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","2,813,715","±2,419","454,654","±9,623","16.2%","±0.3","2,133,785","±1,927","331,541","±8,005","15.5%","±0.4"
"            Under 5 years","742,571","±1,463","130,683","±3,603","17.6%","±0.5","559,864","±1,254","90,114","±2,880","16.1%","±0.5"
"            5 to 17 years","2,071,144","±1,695","323,971","±7,648","15.6%","±0.4","1,573,921","±1,315","241,427","±6,823","15.3%","±0.4"
"            Related children of householder under 18 years","2,802,857","±2,550","444,689","±9,484","15.9%","±0.3","2,126,805","±2,085","325,159","±7,906","15.3%","±0.4"
"        18 to 64 years","7,679,025","±1,349","864,994","±10,029","11.3%","±0.1","5,840,800","±2,362","597,417","±8,677","10.2%","±0.1"
"            18 to 34 years","2,801,601","±1,205","409,662","±5,898","14.6%","±0.2","2,148,929","±1,836","270,105","±4,971","12.6%","±0.2"
"            35 to 64 years","4,877,424","±1,428","455,332","±6,509","9.3%","±0.1","3,691,871","±1,347","327,312","±5,891","8.9%","±0.2"
"        60 years and over","2,709,490","±5,907","248,346","±4,550","9.2%","±0.2","1,909,811","±4,492","179,335","±3,585","9.4%","±0.2"
"        65 years and over","1,925,764","±1,192","169,022","±3,328","8.8%","±0.2","1,344,639","±1,373","123,458","±2,709","9.2%","±0.2"
"    SEX","","","","","","","","","","","",""
"        Male","6,074,232","±2,277","654,596","±9,070","10.8%","±0.1","4,553,493","±2,344","457,348","±7,951","10.0%","±0.2"
"        Female","6,344,272","±2,601","834,074","±10,654","13.1%","±0.2","4,765,731","±2,044","595,068","±8,900","12.5%","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","8,685,940","±11,826","789,411","±10,792","9.1%","±0.1","5,934,821","±11,708","458,342","±8,887","7.7%","±0.1"
"        Black or African American alone","1,718,507","±5,964","432,416","±7,720","25.2%","±0.4","1,517,736","±4,960","358,986","±6,841","23.7%","±0.4"
"        American Indian and Alaska Native alone","32,916","±2,220","4,454","±800","13.5%","±2.4","28,141","±2,211","3,453","±735","12.3%","±2.5"
"        Asian alone","696,025","±3,551","72,066","±3,175","10.4%","±0.5","632,410","±3,409","60,116","±3,173","9.5%","±0.5"
"        Native Hawaiian and Other Pacific Islander alone","5,005","±569","579","±214","11.6%","±4.2","3,735","±472","454","±187","12.2%","±5.0"
"        Some other race alone","750,740","±11,485","118,263","±5,343","15.8%","±0.7","752,312","±11,899","119,541","±5,298","15.9%","±0.7"
"        Two or more races","529,371","±10,924","71,481","±3,960","13.5%","±0.7","450,069","±10,281","51,524","±4,219","11.4%","±0.9"
"        Hispanic or Latino origin (of any race)","2,154,084","±1,573","313,448","±8,381","14.6%","±0.4","2,082,801","±1,414","294,736","±8,398","14.2%","±0.4"
"        White alone, not Hispanic or Latino","7,574,051","±3,595","631,682","±8,977","8.3%","±0.1","4,886,957","±2,968","316,354","±6,316","6.5%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","8,538,658","±1,357","825,261","±8,880","9.7%","±0.1","6,389,557","±1,930","591,200","±7,687","9.3%","±0.1"
"            Less than high school graduate","857,230","±7,887","186,555","±4,056","21.8%","±0.4","684,002","±6,661","138,520","±3,225","20.3%","±0.4"
