"Label (Grouping)","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","",""
"    Total housing units","5,373,385","±564","5,373,385","(X)","3,856,019","±936","3,856,019","(X)"
"        Occupied housing units","4,884,061","±8,585","90.9%","±0.2","3,548,735","±5,885","92.0%","±0.1"
"        Vacant housing units","489,324","±8,662","9.1%","±0.2","307,284","±5,724","8.0%","±0.1"
"        Homeowner vacancy rate","1.6","±0.1","(X)","(X)","1.5","±0.1","(X)","(X)"
"        Rental vacancy rate","5.9","±0.1","(X)","(X)","5.3","±0.2","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","",""
"    Total housing units","5,373,385","±564","5,373,385","(X)","3,856,019","±936","3,856,019","(X)"
"        1-unit, detached","3,161,971","±8,192","58.8%","±0.2","2,026,694","±7,012","52.6%","±0.2"
"        1-unit, attached","311,584","±4,631","5.8%","±0.1","280,397","±3,870","7.3%","±0.1"
"        2 units","301,404","±3,905","5.6%","±0.1","253,795","±3,855","6.6%","±0.1"
"        3 or 4 units","342,842","±4,421","6.4%","±0.1","284,355","±3,857","7.4%","±0.1"
"        5 to 9 units","339,044","±4,349","6.3%","±0.1","288,852","±4,223","7.5%","±0.1"
"        10 to 19 units","204,840","±3,487","3.8%","±0.1","166,943","±3,079","4.3%","±0.1"
"        20 or more units","580,042","±4,769","10.8%","±0.1","514,932","±4,194","13.4%","±0.1"
"        Mobile home","129,855","±2,264","2.4%","±0.1","38,954","±1,504","1.0%","±0.1"
"        Boat, RV, van, etc.","1,803","±382","0.0%","±0.1","1,097","±335","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","",""
"    Total housing units","5,373,385","±564","5,373,385","(X)","3,856,019","±936","3,856,019","(X)"
"        Built 2014 or later","88,931","±2,673","1.7%","±0.1","65,622","±2,367","1.7%","±0.1"
"        Built 2010 to 2013","79,005","±2,541","1.5%","±0.1","47,881","±1,906","1.2%","±0.1"
"        Built 2000 to 2009","582,470","±5,416","10.8%","±0.1","437,546","±4,579","11.3%","±0.1"
"        Built 1990 to 1999","604,683","±5,751","11.3%","±0.1","438,294","±5,021","11.4%","±0.1"
"        Built 1980 to 1989","488,946","±4,782","9.1%","±0.1","350,830","±4,360","9.1%","±0.1"
"        Built 1970 to 1979","775,744","±5,932","14.4%","±0.1","545,722","±5,263","14.2%","±0.1"
"        Built 1960 to 1969","622,943","±6,089","11.6%","±0.1","452,497","±5,344","11.7%","±0.1"
"        Built 1950 to 1959","678,060","±5,688","12.6%","±0.1","499,891","±4,942","13.0%","±0.1"
"        Built 1940 to 1949","326,088","±3,860","6.1%","±0.1","229,167","±3,756","5.9%","±0.1"
"        Built 1939 or earlier","1,126,515","±6,604","21.0%","±0.1","788,569","±5,803","20.5%","±0.2"
"ROOMS","","","","","","","",""
"    Total housing units","5,373,385","±564","5,373,385","(X)","3,856,019","±936","3,856,019","(X)"
"        1 room","137,559","±3,277","2.6%","±0.1","100,917","±2,419","2.6%","±0.1"
"        2 rooms","133,636","±2,674","2.5%","±0.1","104,346","±2,351","2.7%","±0.1"
"        3 rooms","446,286","±5,597","8.3%","±0.1","353,566","±4,855","9.2%","±0.1"
"        4 rooms","831,543","±7,793","15.5%","±0.1","611,927","±6,179","15.9%","±0.2"
"        5 rooms","1,037,621","±8,443","19.3%","±0.2","726,474","±6,860","18.8%","±0.2"
"        6 rooms","944,030","±6,651","17.6%","±0.1","652,397","±6,092","16.9%","±0.2"
"        7 rooms","649,652","±5,762","12.1%","±0.1","449,909","±4,639","11.7%","±0.1"
"        8 rooms","497,067","±4,956","9.3%","±0.1","350,124","±4,274","9.1%","±0.1"
"        9 rooms or more","695,991","±6,994","13.0%","±0.1","506,359","±5,336","13.1%","±0.1"
"        Median rooms","5.6","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","",""
"    Total housing units","5,373,385","±564","5,373,385","(X)","3,856,019","±936","3,856,019","(X)"
"        No bedroom","156,373","±3,364","2.9%","±0.1","117,683","±2,488","3.1%","±0.1"
"        1 bedroom","606,416","±5,946","11.3%","±0.1","471,410","±4,830","12.2%","±0.1"
"        2 bedrooms","1,511,758","±8,301","28.1%","±0.2","1,076,559","±7,394","27.9%","±0.2"
"        3 bedrooms","1,960,523","±6,965","36.5%","±0.1","1,329,071","±5,735","34.5%","±0.1"
"        4 bedrooms","896,065","±6,683","16.7%","±0.1","672,404","±5,269","17.4%","±0.1"
"        5 or more bedrooms","242,250","±3,530","4.5%","±0.1","188,892","±3,264","4.9%","±0.1"
"HOUSING TENURE","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        Owner-occupied","3,237,778","±15,169","66.3%","±0.2","2,299,451","±11,558","64.8%","±0.3"
"        Renter-occupied","1,646,283","±9,436","33.7%","±0.2","1,249,284","±8,649","35.2%","±0.3"
"        Average household size of owner-occupied unit","2.67","±0.01","(X)","(X)","2.77","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.30","±0.01","(X)","(X)","2.36","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        Moved in 2019 or later","221,001","±3,978","4.5%","±0.1","162,989","±3,467","4.6%","±0.1"
"        Moved in 2015 to 2018","1,311,789","±6,848","26.9%","±0.2","969,371","±6,602","27.3%","±0.2"
"        Moved in 2010 to 2014","936,530","±5,983","19.2%","±0.1","684,175","±6,201","19.3%","±0.2"
