"Label (Grouping)","Cook County, Illinois!!Total!!Estimate","Cook County, Illinois!!Male!!Estimate","Cook County, Illinois!!Female!!Estimate"
"Workers 16 years and over","2,508,211","1,305,661","1,202,550"
"    MEANS OF TRANSPORTATION TO WORK","","",""
"        Car, truck, or van","67.7%","68.9%","66.4%"
"            Drove alone","59.9%","61.3%","58.4%"
"            Carpooled","7.8%","7.6%","8.0%"
"                In 2-person carpool","5.9%","5.7%","6.1%"
"                In 3-person carpool","1.1%","1.1%","1.1%"
"                In 4-or-more person carpool","0.8%","0.8%","0.8%"
"            Workers per car, truck, or van","1.07","1.07","1.07"
"        Public transportation (excluding taxicab)","17.8%","16.7%","19.0%"
"        Walked","4.1%","4.0%","4.2%"
"        Bicycle","1.0%","1.4%","0.6%"
"        Taxicab, motorcycle, or other means","1.6%","1.5%","1.6%"
"        Worked from home","7.8%","7.5%","8.1%"
"    PLACE OF WORK","","",""
"        Worked in state of residence","98.7%","98.5%","98.9%"
"            Worked in county of residence","87.4%","86.2%","88.8%"
"            Worked outside county of residence","11.3%","12.3%","10.1%"
"        Worked outside state of residence","1.3%","1.5%","1.1%"
"        Living in a place","98.1%","98.0%","98.3%"
"            Worked in place of residence","48.2%","46.6%","50.0%"
"            Worked outside place of residence","49.9%","51.3%","48.3%"
"        Not living in a place","1.9%","2.0%","1.7%"
"        Living in 12 selected states","0.0%","0.0%","0.0%"
"            Worked in minor civil division of residence","0.0%","0.0%","0.0%"
"            Worked outside minor civil division of residence","0.0%","0.0%","0.0%"
"        Not living in 12 selected states","100.0%","100.0%","100.0%"
"Workers 16 years and over who did not work from home","2,312,533","1,207,953","1,104,580"
"    TIME OF DEPARTURE TO GO TO WORK","","",""
"        12:00 a.m. to 4:59 a.m.","4.8%","6.1%","3.4%"
"        5:00 a.m. to 5:29 a.m.","4.1%","5.4%","2.7%"
"        5:30 a.m. to 5:59 a.m.","4.1%","5.1%","3.1%"
"        6:00 a.m. to 6:29 a.m.","9.3%","10.6%","7.8%"
"        6:30 a.m. to 6:59 a.m.","8.2%","8.0%","8.5%"
"        7:00 a.m. to 7:29 a.m.","14.8%","14.1%","15.6%"
"        7:30 a.m. to 7:59 a.m.","10.4%","8.8%","12.2%"
"        8:00 a.m. to 8:29 a.m.","13.0%","11.5%","14.5%"
"        8:30 a.m. to 8:59 a.m.","6.3%","5.6%","7.0%"
"        9:00 a.m. to 11:59 p.m.","25.0%","24.8%","25.2%"
"    TRAVEL TIME TO WORK","","",""
"        Less than 10 minutes","6.2%","5.7%","6.8%"
"        10 to 14 minutes","8.5%","7.8%","9.2%"
"        15 to 19 minutes","10.6%","10.2%","11.1%"
"        20 to 24 minutes","12.1%","11.7%","12.4%"
"        25 to 29 minutes","6.2%","6.2%","6.1%"
"        30 to 34 minutes","17.5%","18.0%","17.0%"
"        35 to 44 minutes","10.5%","10.9%","10.0%"
"        45 to 59 minutes","13.9%","14.3%","13.3%"
"        60 or more minutes","14.6%","15.1%","14.0%"
"        Mean travel time to work (minutes)","33.2","33.9","32.4"
"VEHICLES AVAILABLE","","",""
"    Workers 16 years and over in households","2,497,161","1,300,599","1,196,562"
"        No vehicle available","9.9%","9.3%","10.6%"
"        1 vehicle available","31.2%","29.2%","33.4%"
"        2 vehicles available","36.4%","37.8%","34.9%"
"        3 or more vehicles available","22.5%","23.7%","21.1%"
"PERCENT ALLOCATED","","",""
"    Means of transportation to work","12.3%","(X)","(X)"
"    Private vehicle occupancy","14.7%","(X)","(X)"
"    Place of work","17.5%","(X)","(X)"
"    Time of departure to go to work","26.8%","(X)","(X)"
"    Travel time to work","19.5%","(X)","(X)"
"    Vehicles available","1.5%","(X)","(X)"
