"Label (Grouping)","Cook County, Illinois!!Total!!Estimate","Cook County, Illinois!!Male!!Estimate","Cook County, Illinois!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","455,959","226,496","229,463"
"        Less than high school graduate","53,361","30,020","23,341"
"        High school graduate (includes equivalency)","128,409","69,900","58,509"
"        Some college or associate's degree","191,084","90,133","100,951"
"        Bachelor's degree or higher","83,105","36,443","46,662"
"    Population 25 years and over","3,584,933","1,709,249","1,875,684"
"        Less than 9th grade","224,447","107,559","116,888"
"        9th to 12th grade, no diploma","217,601","112,010","105,591"
"        High school graduate (includes equivalency)","811,264","404,174","407,090"
"        Some college, no degree","660,139","313,547","346,592"
"        Associate's degree","238,063","101,405","136,658"
"        Bachelor's degree","846,361","405,178","441,183"
"        Graduate or professional degree","587,058","265,376","321,682"
"        High school graduate or higher","3,142,885","1,489,680","1,653,205"
"        Bachelor's degree or higher","1,433,419","670,554","762,865"
"    Population 25 to 34 years","844,827","421,984","422,843"
"        High school graduate or higher","791,200","391,454","399,746"
"        Bachelor's degree or higher","433,838","205,301","228,537"
"    Population 35 to 44 years","699,725","347,357","352,368"
"        High school graduate or higher","624,237","306,143","318,094"
"        Bachelor's degree or higher","311,100","143,780","167,320"
"    Population 45 to 64 years","1,282,693","619,911","662,782"
"        High school graduate or higher","1,107,252","529,938","577,314"
"        Bachelor's degree or higher","462,398","214,515","247,883"
"    Population 65 years and over","757,688","319,997","437,691"
"        High school graduate or higher","620,196","262,145","358,051"
"        Bachelor's degree or higher","226,083","106,958","119,125"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","2,055,440","1,004,814","1,050,626"
"        High school graduate or higher","1,865,892","908,876","957,016"
"        Bachelor's degree or higher","968,422","468,350","500,072"
"    White alone, not Hispanic or Latino","1,673,950","811,516","862,434"
"        High school graduate or higher","1,590,721","771,748","818,973"
"        Bachelor's degree or higher","898,252","436,988","461,264"
"    Black alone","806,274","348,870","457,404"
"        High school graduate or higher","709,151","302,653","406,498"
"        Bachelor's degree or higher","193,491","73,804","119,687"
"    American Indian or Alaska Native alone","10,433","5,256","5,177"
"        High school graduate or higher","7,505","3,781","3,724"
"        Bachelor's degree or higher","2,537","1,175","1,362"
"    Asian alone","284,297","133,539","150,758"
"        High school graduate or higher","256,347","123,149","133,198"
"        Bachelor's degree or higher","184,296","89,330","94,966"
"    Native Hawaiian and Other Pacific Islander alone","1,461","818","643"
"        High school graduate or higher","1,235","676","559"
"        Bachelor's degree or higher","526","221","305"
"    Some other race alone","291,223","148,154","143,069"
"        High school graduate or higher","188,442","94,070","94,372"
"        Bachelor's degree or higher","36,505","16,340","20,165"
"    Two or more races","135,805","67,798","68,007"
"        High school graduate or higher","114,313","56,475","57,838"
"        Bachelor's degree or higher","47,642","21,334","26,308"
"    Hispanic or Latino Origin","767,146","390,278","376,868"
"        High school graduate or higher","536,462","269,028","267,434"
"        Bachelor's degree or higher","128,056","56,962","71,094"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","45,875","51,914","40,590"
"        Less than high school graduate","26,688","30,840","21,838"
"        High school graduate (includes equivalency)","31,681","36,722","25,847"
"        Some college or associate's degree","37,952","45,393","32,103"
"        Bachelor's degree","61,337","70,353","53,657"
"        Graduate or professional degree","79,386","95,924","68,998"
