"Label (Grouping)","Cook County, Illinois!!Total!!Estimate","Cook County, Illinois!!Labor Force Participation Rate!!Estimate","Cook County, Illinois!!Employment/Population Ratio!!Estimate","Cook County, Illinois!!Unemployment rate!!Estimate"
"Population 16 years and over","4,167,295","66.1%","61.5%","7.0%"
"    AGE","","","",""
"        16 to 19 years","247,909","31.9%","24.0%","24.6%"
"        20 to 24 years","334,453","74.0%","63.5%","14.0%"
"        25 to 29 years","432,731","85.7%","79.3%","7.5%"
"        30 to 34 years","412,096","86.6%","81.4%","5.8%"
"        35 to 44 years","699,725","85.3%","80.7%","5.4%"
"        45 to 54 years","647,738","82.3%","77.7%","5.6%"
"        55 to 59 years","330,348","74.1%","69.7%","5.9%"
"        60 to 64 years","304,607","59.7%","56.7%","4.9%"
"        65 to 74 years","433,863","28.5%","27.3%","4.3%"
"        75 years and over","323,825","6.6%","6.4%","3.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","2,335,140","67.4%","64.3%","4.6%"
"        Black or African American alone","955,973","60.7%","51.8%","14.7%"
"        American Indian and Alaska Native alone","12,411","66.6%","61.9%","7.1%"
"        Asian alone","324,185","66.8%","64.0%","4.1%"
"        Native Hawaiian and Other Pacific Islander alone","1,663","72.2%","70.5%","2.3%"
"        Some other race alone","368,047","69.7%","65.2%","6.4%"
"        Two or more races","169,876","70.0%","64.0%","8.6%"
"        Hispanic or Latino origin (of any race)","959,990","69.3%","64.6%","6.7%"
"        White alone, not Hispanic or Latino","1,861,092","67.1%","64.3%","4.1%"
"Population 20 to 64 years","3,161,698","80.1%","74.7%","6.7%"
"    SEX","","","",""
"        Male","1,554,753","84.6%","78.9%","6.6%"
"        Female","1,606,945","75.7%","70.6%","6.7%"
"            With own children under 18 years","512,251","74.6%","69.2%","7.3%"
"                With own children under 6 years only","120,055","74.3%","67.4%","9.2%"
"                With own children under 6 years and 6 to 17  years","99,441","66.5%","61.0%","8.3%"
"                With own children 6 to 17 years only","292,755","77.5%","72.7%","6.2%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","377,104","49.8%","34.9%","29.7%"
"        At or above the poverty level","2,749,424","85.1%","80.9%","4.8%"
"    DISABILITY STATUS","","","",""
"        With any disability","249,385","44.1%","37.0%","16.1%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","2,827,245","80.8%","76.0%","5.9%"
"        Less than high school graduate","304,556","62.6%","56.7%","9.5%"
"        High school graduate (includes equivalency)","598,783","73.5%","66.4%","9.6%"
"        Some college or associate's degree","716,570","81.1%","75.3%","7.0%"
"        Bachelor's degree or higher","1,207,336","88.8%","86.1%","3.0%"
