Means of Transportation,Texas Total,Male Total,Female Total,Houston Metro Total,Houston Male Total,Houston Female Total
Workers 16 years and over,"13,307,640","7,264,180","6,043,460","3,271,855","1,812,680","1,459,175"
"        Car, truck, or van",88.6%,88.9%,88.2%,88.5%,89.3%,87.5%
            Drove alone,78.7%,79.2%,78.0%,78.9%,79.9%,77.7%
            Carpooled,9.9%,9.7%,10.2%,9.6%,9.4%,9.8%
                In 2-person carpool,7.3%,7.0%,7.6%,7.0%,6.8%,7.4%
                In 3-person carpool,1.6%,1.5%,1.6%,1.5%,1.5%,1.5%
                In 4-or-more person carpool,1.0%,1.1%,0.9%,1.0%,1.1%,0.9%
"            Workers per car, truck, or van",1.07,1.06,1.07,1.06,1.06,1.07
        Public transportation (excluding taxicab),1.3%,1.2%,1.3%,1.9%,1.7%,2.2%
        Walked,1.5%,1.6%,1.4%,1.2%,1.2%,1.3%
        Bicycle,0.2%,0.3%,0.1%,0.3%,0.4%,0.1%
"        Taxicab, motorcycle, or other means",1.3%,1.5%,1.1%,1.4%,1.5%,1.2%
        Worked from home,7.0%,6.4%,7.8%,6.7%,5.9%,7.7%
        Worked in state of residence,99.0%,98.6%,99.4%,99.2%,98.9%,99.6%
            Worked in county of residence,77.1%,74.7%,80.0%,78.1%,76.9%,79.6%
            Worked outside county of residence,21.9%,24.0%,19.4%,21.1%,22.0%,20.0%
        Worked outside state of residence,1.0%,1.4%,0.6%,0.8%,1.1%,0.4%
        Living in a place,79.4%,79.0%,79.9%,63.2%,63.3%,63.2%
            Worked in place of residence,42.8%,40.5%,45.5%,34.5%,33.5%,35.7%
            Worked outside place of residence,36.6%,38.5%,34.4%,28.8%,29.8%,27.5%
        Not living in a place,20.6%,21.0%,20.1%,36.8%,36.7%,36.8%
        Living in 12 selected states,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
            Worked in minor civil division of residence,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
            Worked outside minor civil division of residence,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
        Not living in 12 selected states,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Workers 16 years and over who did not work from home,"12,371,575","6,797,809","5,573,766","3,052,681","1,705,376","1,347,305"
        12:00 a.m. to 4:59 a.m.,4.9%,6.4%,3.1%,5.6%,7.4%,3.3%
        5:00 a.m. to 5:29 a.m.,4.3%,5.7%,2.6%,5.4%,7.1%,3.1%
        5:30 a.m. to 5:59 a.m.,5.1%,6.2%,3.8%,5.7%,7.0%,4.2%
        6:00 a.m. to 6:29 a.m.,9.6%,11.3%,7.6%,11.5%,13.0%,9.7%
        6:30 a.m. to 6:59 a.m.,9.7%,9.8%,9.7%,10.1%,9.6%,10.8%
        7:00 a.m. to 7:29 a.m.,15.8%,14.8%,17.0%,15.5%,14.8%,16.4%
        7:30 a.m. to 7:59 a.m.,12.2%,10.4%,14.4%,9.8%,8.5%,11.5%
        8:00 a.m. to 8:29 a.m.,10.7%,10.1%,11.5%,10.4%,9.5%,11.6%
        8:30 a.m. to 8:59 a.m.,4.8%,4.0%,5.7%,4.5%,3.7%,5.6%
        9:00 a.m. to 11:59 p.m.,22.7%,21.2%,24.6%,21.4%,19.4%,24.0%
        Less than 10 minutes,11.7%,10.5%,13.0%,7.6%,6.8%,8.7%
        10 to 14 minutes,13.2%,12.1%,14.5%,10.2%,9.1%,11.5%
        15 to 19 minutes,15.6%,14.7%,16.7%,13.3%,12.2%,14.6%
        20 to 24 minutes,14.3%,14.1%,14.7%,13.5%,12.8%,14.3%
        25 to 29 minutes,6.3%,6.1%,6.4%,6.4%,6.2%,6.5%
        30 to 34 minutes,14.9%,15.7%,13.9%,17.5%,18.2%,16.5%
        35 to 44 minutes,7.0%,7.4%,6.5%,9.0%,9.5%,8.3%
        45 to 59 minutes,8.8%,9.3%,8.0%,11.8%,12.5%,10.8%
        60 or more minutes,8.3%,10.0%,6.3%,10.9%,12.6%,8.6%
        Mean travel time to work (minutes),26.6,28.4,24.4,30.0,31.7,27.8
    Workers 16 years and over in households,"13,220,891","7,209,591","6,011,300","3,265,425","1,809,313","1,456,112"
        No vehicle available,2.1%,2.1%,2.2%,2.4%,2.2%,2.5%
        1 vehicle available,19.8%,17.5%,22.6%,20.0%,17.8%,22.8%
        2 vehicles available,42.7%,43.8%,41.5%,43.3%,44.6%,41.8%
        3 or more vehicles available,35.3%,36.6%,33.8%,34.3%,35.4%,32.9%
    Means of transportation to work,11.3%,(X),(X),12.2%,(X),(X)
    Private vehicle occupancy,12.9%,(X),(X),14.1%,(X),(X)
    Place of work,15.1%,(X),(X),16.5%,(X),(X)
    Time of departure to go to work,22.8%,(X),(X),24.8%,(X),(X)
    Travel time to work,17.6%,(X),(X),19.0%,(X),(X)
    Vehicles available,1.3%,(X),(X),1.4%,(X),(X)
