Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"435,750","221,736","214,014"
        Less than high school graduate,"71,828","40,706","31,122"
        High school graduate (includes equivalency),"140,708","78,510","62,198"
        Some college or associate's degree,"177,602","83,928","93,674"
        Bachelor's degree or higher,"45,612","18,592","27,020"
    Population 25 years and over,"2,995,908","1,466,952","1,528,956"
        Less than 9th grade,"305,321","158,660","146,661"
"        9th to 12th grade, no diploma","238,790","125,446","113,344"
        High school graduate (includes equivalency),"683,675","340,257","343,418"
"        Some college, no degree","588,600","280,216","308,384"
        Associate's degree,"212,930","97,693","115,237"
        Bachelor's degree,"613,469","292,243","321,226"
        Graduate or professional degree,"353,123","172,437","180,686"
        High school graduate or higher,"2,451,797","1,182,846","1,268,951"
        Bachelor's degree or higher,"966,592","464,680","501,912"
    Population 25 to 34 years,"753,626","381,052","372,574"
        High school graduate or higher,"658,880","325,897","332,983"
        Bachelor's degree or higher,"261,333","118,353","142,980"
    Population 35 to 44 years,"669,099","336,967","332,132"
        High school graduate or higher,"544,327","267,207","277,120"
        Bachelor's degree or higher,"226,400","104,254","122,146"
    Population 45 to 64 years,"1,081,793","531,337","550,456"
        High school graduate or higher,"859,852","415,443","444,409"
        Bachelor's degree or higher,"326,246","161,009","165,237"
    Population 65 years and over,"491,390","217,596","273,794"
        High school graduate or higher,"388,738","174,299","214,439"
        Bachelor's degree or higher,"152,613","81,064","71,549"
