,Household,Families,Married-couple Households,Nonfamily Households
Total,"1,635,749","1,113,437","766,641","522,312"
"    Less than $10,000",6.0%,4.5%,1.7%,11.1%
"    $10,000 to $14,999",3.6%,2.6%,1.4%,6.1%
"    $15,000 to $24,999",8.5%,7.1%,4.4%,12.2%
"    $25,000 to $34,999",9.4%,8.5%,6.5%,11.6%
"    $35,000 to $49,999",12.5%,11.6%,9.7%,14.5%
"    $50,000 to $74,999",17.5%,16.6%,15.6%,18.8%
"    $75,000 to $99,999",12.1%,12.9%,13.9%,9.9%
"    $100,000 to $149,999",14.7%,16.9%,20.8%,8.8%
"    $150,000 to $199,999",6.7%,8.2%,10.8%,2.9%
"    $200,000 or more",8.9%,11.1%,15.2%,4.1%
Median income (dollars),"63,022","73,274","93,691","43,488"
Mean income (dollars),"93,184","105,534","128,211","62,435"
