"Label (Grouping)","Harris County, Texas!!Total!!Estimate","Harris County, Texas!!Male!!Estimate","Harris County, Texas!!Female!!Estimate"
"Workers 16 years and over","2,209,641","1,227,892","981,749"
"    MEANS OF TRANSPORTATION TO WORK","","",""
"        Car, truck, or van","88.1%","89.0%","87.0%"
"            Drove alone","78.0%","79.1%","76.7%"
"            Carpooled","10.1%","9.9%","10.2%"
"                In 2-person carpool","7.4%","7.1%","7.7%"
"                In 3-person carpool","1.6%","1.6%","1.6%"
"                In 4-or-more person carpool","1.1%","1.2%","1.0%"
"            Workers per car, truck, or van","1.07","1.07","1.07"
"        Public transportation (excluding taxicab)","2.4%","2.0%","2.8%"
"        Walked","1.4%","1.4%","1.4%"
"        Bicycle","0.3%","0.4%","0.1%"
"        Taxicab, motorcycle, or other means","1.6%","1.7%","1.5%"
"        Worked from home","6.2%","5.4%","7.2%"
"    PLACE OF WORK","","",""
"        Worked in state of residence","99.2%","98.9%","99.5%"
"            Worked in county of residence","91.2%","90.9%","91.5%"
"            Worked outside county of residence","8.1%","8.1%","8.0%"
"        Worked outside state of residence","0.8%","1.1%","0.5%"
"        Living in a place","64.8%","65.3%","64.3%"
"            Worked in place of residence","42.9%","42.2%","43.8%"
"            Worked outside place of residence","21.9%","23.0%","20.5%"
"        Not living in a place","35.2%","34.7%","35.7%"
"        Living in 12 selected states","0.0%","0.0%","0.0%"
"            Worked in minor civil division of residence","0.0%","0.0%","0.0%"
"            Worked outside minor civil division of residence","0.0%","0.0%","0.0%"
"        Not living in 12 selected states","100.0%","100.0%","100.0%"
"Workers 16 years and over who did not work from home","2,072,534","1,161,478","911,056"
"    TIME OF DEPARTURE TO GO TO WORK","","",""
"        12:00 a.m. to 4:59 a.m.","5.5%","7.0%","3.4%"
"        5:00 a.m. to 5:29 a.m.","5.4%","7.0%","3.3%"
"        5:30 a.m. to 5:59 a.m.","5.5%","6.6%","4.0%"
"        6:00 a.m. to 6:29 a.m.","11.3%","12.8%","9.5%"
"        6:30 a.m. to 6:59 a.m.","9.8%","9.2%","10.5%"
"        7:00 a.m. to 7:29 a.m.","15.6%","15.1%","16.2%"
"        7:30 a.m. to 7:59 a.m.","9.6%","8.3%","11.3%"
"        8:00 a.m. to 8:29 a.m.","10.5%","9.7%","11.6%"
"        8:30 a.m. to 8:59 a.m.","4.7%","3.9%","5.6%"
"        9:00 a.m. to 11:59 p.m.","22.2%","20.4%","24.5%"
"    TRAVEL TIME TO WORK","","",""
"        Less than 10 minutes","7.4%","6.6%","8.3%"
"        10 to 14 minutes","10.2%","9.2%","11.5%"
"        15 to 19 minutes","13.9%","13.0%","15.0%"
"        20 to 24 minutes","14.4%","13.8%","15.3%"
"        25 to 29 minutes","6.6%","6.5%","6.6%"
"        30 to 34 minutes","18.3%","19.3%","17.1%"
"        35 to 44 minutes","8.6%","9.0%","8.2%"
"        45 to 59 minutes","10.8%","11.5%","10.0%"
"        60 or more minutes","9.7%","11.1%","8.0%"
"        Mean travel time to work (minutes)","29.2","30.5","27.4"
"VEHICLES AVAILABLE","","",""
"    Workers 16 years and over in households","2,205,055","1,225,460","979,595"
"        No vehicle available","2.8%","2.6%","3.0%"
"        1 vehicle available","22.9%","20.7%","25.8%"
"        2 vehicles available","42.2%","43.4%","40.7%"
"        3 or more vehicles available","32.0%","33.3%","30.5%"
"PERCENT ALLOCATED","","",""
"    Means of transportation to work","11.8%","(X)","(X)"
"    Private vehicle occupancy","13.8%","(X)","(X)"
"    Place of work","15.9%","(X)","(X)"
"    Time of departure to go to work","25.1%","(X)","(X)"
"    Travel time to work","19.2%","(X)","(X)"
"    Vehicles available","1.3%","(X)","(X)"
