"Label (Grouping)","Harris County, Texas!!Total!!Estimate","Harris County, Texas!!Male!!Estimate","Harris County, Texas!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","435,750","221,736","214,014"
"        Less than high school graduate","71,828","40,706","31,122"
"        High school graduate (includes equivalency)","140,708","78,510","62,198"
"        Some college or associate's degree","177,602","83,928","93,674"
"        Bachelor's degree or higher","45,612","18,592","27,020"
"    Population 25 years and over","2,995,908","1,466,952","1,528,956"
"        Less than 9th grade","305,321","158,660","146,661"
"        9th to 12th grade, no diploma","238,790","125,446","113,344"
"        High school graduate (includes equivalency)","683,675","340,257","343,418"
"        Some college, no degree","588,600","280,216","308,384"
"        Associate's degree","212,930","97,693","115,237"
"        Bachelor's degree","613,469","292,243","321,226"
"        Graduate or professional degree","353,123","172,437","180,686"
"        High school graduate or higher","2,451,797","1,182,846","1,268,951"
"        Bachelor's degree or higher","966,592","464,680","501,912"
"    Population 25 to 34 years","753,626","381,052","372,574"
"        High school graduate or higher","658,880","325,897","332,983"
"        Bachelor's degree or higher","261,333","118,353","142,980"
"    Population 35 to 44 years","669,099","336,967","332,132"
"        High school graduate or higher","544,327","267,207","277,120"
"        Bachelor's degree or higher","226,400","104,254","122,146"
"    Population 45 to 64 years","1,081,793","531,337","550,456"
"        High school graduate or higher","859,852","415,443","444,409"
"        Bachelor's degree or higher","326,246","161,009","165,237"
"    Population 65 years and over","491,390","217,596","273,794"
"        High school graduate or higher","388,738","174,299","214,439"
"        Bachelor's degree or higher","152,613","81,064","71,549"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","1,738,201","865,103","873,098"
"        High school graduate or higher","1,437,032","708,112","728,920"
"        Bachelor's degree or higher","608,371","305,080","303,291"
"    White alone, not Hispanic or Latino","1,007,935","497,237","510,698"
"        High school graduate or higher","967,468","477,887","489,581"
"        Bachelor's degree or higher","497,863","254,789","243,074"
"    Black alone","565,969","254,884","311,085"
"        High school graduate or higher","513,176","227,946","285,230"
"        Bachelor's degree or higher","153,932","61,279","92,653"
"    American Indian or Alaska Native alone","12,690","6,062","6,628"
"        High school graduate or higher","9,485","4,388","5,097"
"        Bachelor's degree or higher","2,713","1,034","1,679"
"    Asian alone","237,179","112,673","124,506"
"        High school graduate or higher","202,370","97,988","104,382"
"        Bachelor's degree or higher","126,708","62,373","64,335"
"    Native Hawaiian and Other Pacific Islander alone","1,722","735","987"
"        High school graduate or higher","1,366","649","717"
"        Bachelor's degree or higher","327","89","238"
"    Some other race alone","256,347","135,370","120,977"
"        High school graduate or higher","152,160","77,536","74,624"
"        Bachelor's degree or higher","28,786","13,389","15,397"
"    Two or more races","183,800","92,125","91,675"
"        High school graduate or higher","136,208","66,227","69,981"
"        Bachelor's degree or higher","45,755","21,436","24,319"
"    Hispanic or Latino Origin","1,138,885","580,557","558,328"
"        High school graduate or higher","725,306","358,616","366,690"
"        Bachelor's degree or higher","167,532","76,343","91,189"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","40,919","46,813","33,590"
"        Less than high school graduate","24,671","29,109","16,801"
"        High school graduate (includes equivalency)","30,842","36,537","23,888"
"        Some college or associate's degree","38,664","47,368","32,054"
"        Bachelor's degree","60,215","73,460","53,063"
"        Graduate or professional degree","75,889","99,381","64,004"
