"Label (Grouping)","Harris County, Texas!!Total!!Estimate","Harris County, Texas!!Labor Force Participation Rate!!Estimate","Harris County, Texas!!Employment/Population Ratio!!Estimate","Harris County, Texas!!Unemployment rate!!Estimate"
"Population 16 years and over","3,565,983","67.4%","63.2%","6.2%"
"    AGE","","","",""
"        16 to 19 years","253,685","31.8%","25.2%","20.6%"
"        20 to 24 years","316,390","73.3%","65.1%","10.9%"
"        25 to 29 years","380,200","81.6%","76.4%","6.2%"
"        30 to 34 years","373,426","82.3%","77.5%","5.6%"
"        35 to 44 years","669,099","82.2%","78.0%","5.0%"
"        45 to 54 years","581,186","80.9%","77.1%","4.6%"
"        55 to 59 years","267,578","73.4%","70.2%","4.4%"
"        60 to 64 years","233,029","62.3%","59.4%","4.6%"
"        65 to 74 years","308,134","30.9%","29.4%","5.0%"
"        75 years and over","183,256","9.3%","9.0%","3.8%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","2,050,513","67.2%","63.5%","5.3%"
"        Black or African American alone","679,737","67.7%","61.0%","9.6%"
"        American Indian and Alaska Native alone","15,406","66.7%","61.5%","7.6%"
"        Asian alone","270,555","65.0%","62.2%","4.3%"
"        Native Hawaiian and Other Pacific Islander alone","2,304","64.5%","60.6%","5.5%"
"        Some other race alone","315,903","68.9%","65.1%","5.5%"
"        Two or more races","231,565","69.8%","64.9%","7.0%"
"        Hispanic or Latino origin (of any race)","1,430,711","69.1%","64.9%","5.9%"
"        White alone, not Hispanic or Latino","1,128,825","65.7%","62.4%","4.8%"
"Population 20 to 64 years","2,820,908","78.4%","73.8%","5.7%"
"    SEX","","","",""
"        Male","1,409,352","86.8%","81.8%","5.5%"
"        Female","1,411,556","70.0%","65.8%","6.0%"
"            With own children under 18 years","547,996","66.8%","62.4%","6.6%"
"                With own children under 6 years only","123,410","64.2%","59.2%","7.8%"
"                With own children under 6 years and 6 to 17  years","116,727","56.0%","51.3%","8.4%"
"                With own children 6 to 17 years only","307,859","72.0%","67.9%","5.6%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","361,464","52.1%","42.3%","18.8%"
"        At or above the poverty level","2,438,366","82.8%","79.0%","4.5%"
"    DISABILITY STATUS","","","",""
"        With any disability","223,309","48.4%","42.9%","11.3%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","2,504,518","79.0%","74.9%","5.1%"
"        Less than high school graduate","441,459","69.8%","65.9%","5.6%"
"        High school graduate (includes equivalency)","569,757","74.2%","69.7%","6.1%"
"        Some college or associate's degree","679,323","80.7%","75.8%","6.0%"
"        Bachelor's degree or higher","813,979","86.0%","82.8%","3.6%"
