"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/4835000","","Houston","Percent_Person_SleepLessThan7Hours","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",33.9,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/4835000","","Houston","Percent_Person_SleepLessThan7Hours","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",40.8,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/4835000","","Houston","Percent_Person_Obesity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",38.6,"Percentage of Adult Population That Is Obese"
"geoId/4835000","","Houston","Percent_Person_Obesity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",38,"Percentage of Adult Population That Is Obese"
"geoId/4835000","","Houston","Percent_Person_Obesity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",35.7,"Percentage of Adult Population That Is Obese"
"geoId/4835000","","Houston","Percent_Person_BingeDrinking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",17.5,"Percentage of Adult Population Who Binge Drink"
"geoId/4835000","","Houston","Percent_Person_BingeDrinking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",17.1,"Percentage of Adult Population Who Binge Drink"
"geoId/4835000","","Houston","Percent_Person_BingeDrinking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",15.7,"Percentage of Adult Population Who Binge Drink"
"geoId/4835000","","Houston","Percent_Person_PhysicalInactivity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",31,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/4835000","","Houston","Percent_Person_PhysicalInactivity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",30.1,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/4835000","","Houston","Percent_Person_PhysicalInactivity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",29.6,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/4835000","","Houston","Percent_Person_Smoking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",17.6,"Percentage of Adult Population That Smokes"
"geoId/4835000","","Houston","Percent_Person_Smoking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",17.2,"Percentage of Adult Population That Smokes"
"geoId/4835000","","Houston","Percent_Person_Smoking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",15.2,"Percentage of Adult Population That Smokes"
