"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Margin of Error"
"Workers 16 years and over","13,307,640","±22,902","7,264,180","±15,254","6,043,460","±16,237","3,271,855","±11,374","1,812,680","±8,170","1,459,175","±7,841"
"    MEANS OF TRANSPORTATION TO WORK","","","","","","","","","","","",""
"        Car, truck, or van","88.6%","±0.1","88.9%","±0.1","88.2%","±0.1","88.5%","±0.2","89.3%","±0.3","87.5%","±0.3"
"            Drove alone","78.7%","±0.1","79.2%","±0.1","78.0%","±0.2","78.9%","±0.3","79.9%","±0.4","77.7%","±0.4"
"            Carpooled","9.9%","±0.1","9.7%","±0.1","10.2%","±0.1","9.6%","±0.2","9.4%","±0.3","9.8%","±0.2"
"                In 2-person carpool","7.3%","±0.1","7.0%","±0.1","7.6%","±0.1","7.0%","±0.2","6.8%","±0.2","7.4%","±0.2"
"                In 3-person carpool","1.6%","±0.1","1.5%","±0.1","1.6%","±0.1","1.5%","±0.1","1.5%","±0.1","1.5%","±0.1"
"                In 4-or-more person carpool","1.0%","±0.1","1.1%","±0.1","0.9%","±0.1","1.0%","±0.1","1.1%","±0.1","0.9%","±0.1"
"            Workers per car, truck, or van","1.07","±0.01","1.06","±0.01","1.07","±0.01","1.06","±0.01","1.06","±0.01","1.07","±0.01"
"        Public transportation (excluding taxicab)","1.3%","±0.1","1.2%","±0.1","1.3%","±0.1","1.9%","±0.1","1.7%","±0.1","2.2%","±0.1"
"        Walked","1.5%","±0.1","1.6%","±0.1","1.4%","±0.1","1.2%","±0.1","1.2%","±0.1","1.3%","±0.1"
"        Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1","0.3%","±0.1","0.4%","±0.1","0.1%","±0.1"
"        Taxicab, motorcycle, or other means","1.3%","±0.1","1.5%","±0.1","1.1%","±0.1","1.4%","±0.1","1.5%","±0.1","1.2%","±0.1"
"        Worked from home","7.0%","±0.1","6.4%","±0.1","7.8%","±0.1","6.7%","±0.2","5.9%","±0.2","7.7%","±0.2"
"    PLACE OF WORK","","","","","","","","","","","",""
"        Worked in state of residence","99.0%","±0.1","98.6%","±0.1","99.4%","±0.1","99.2%","±0.1","98.9%","±0.1","99.6%","±0.1"
"            Worked in county of residence","77.1%","±0.1","74.7%","±0.1","80.0%","±0.1","78.1%","±0.2","76.9%","±0.3","79.6%","±0.3"
"            Worked outside county of residence","21.9%","±0.1","24.0%","±0.1","19.4%","±0.1","21.1%","±0.2","22.0%","±0.2","20.0%","±0.3"
"        Worked outside state of residence","1.0%","±0.1","1.4%","±0.1","0.6%","±0.1","0.8%","±0.1","1.1%","±0.1","0.4%","±0.1"
"        Living in a place","79.4%","±0.1","79.0%","±0.1","79.9%","±0.1","63.2%","±0.2","63.3%","±0.3","63.2%","±0.3"
"            Worked in place of residence","42.8%","±0.1","40.5%","±0.2","45.5%","±0.1","34.5%","±0.2","33.5%","±0.3","35.7%","±0.3"
"            Worked outside place of residence","36.6%","±0.2","38.5%","±0.2","34.4%","±0.2","28.8%","±0.3","29.8%","±0.3","27.5%","±0.3"
"        Not living in a place","20.6%","±0.1","21.0%","±0.1","20.1%","±0.1","36.8%","±0.2","36.7%","±0.3","36.8%","±0.3"
"        Living in 12 selected states","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked in minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked outside minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Not living in 12 selected states","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"Workers 16 years and over who did not work from home","12,371,575","±25,345","6,797,809","±16,119","5,573,766","±17,014","3,052,681","±12,341","1,705,376","±8,405","1,347,305","±8,160"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.9%","±0.1","6.4%","±0.1","3.1%","±0.1","5.6%","±0.1","7.4%","±0.2","3.3%","±0.1"
"        5:00 a.m. to 5:29 a.m.","4.3%","±0.1","5.7%","±0.1","2.6%","±0.1","5.4%","±0.1","7.1%","±0.2","3.1%","±0.2"
"        5:30 a.m. to 5:59 a.m.","5.1%","±0.1","6.2%","±0.1","3.8%","±0.1","5.7%","±0.1","7.0%","±0.2","4.2%","±0.2"
