"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","",""
"    Total housing units","11,112,975","±3,353","11,112,975","(X)","2,646,682","±980","2,646,682","(X)"
"        Occupied housing units","9,906,070","±18,881","89.1%","±0.2","2,407,993","±5,139","91.0%","±0.2"
"        Vacant housing units","1,206,905","±17,491","10.9%","±0.2","238,689","±5,172","9.0%","±0.2"
"        Homeowner vacancy rate","1.4","±0.1","(X)","(X)","1.4","±0.1","(X)","(X)"
"        Rental vacancy rate","7.8","±0.1","(X)","(X)","8.5","±0.3","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","",""
"    Total housing units","11,112,975","±3,353","11,112,975","(X)","2,646,682","±980","2,646,682","(X)"
"        1-unit, detached","7,232,758","±16,246","65.1%","±0.1","1,662,449","±6,924","62.8%","±0.3"
"        1-unit, attached","298,606","±4,806","2.7%","±0.1","82,762","±2,851","3.1%","±0.1"
"        2 units","205,176","±4,730","1.8%","±0.1","29,694","±2,090","1.1%","±0.1"
"        3 or 4 units","365,110","±5,167","3.3%","±0.1","69,985","±2,538","2.6%","±0.1"
"        5 to 9 units","510,163","±7,475","4.6%","±0.1","125,454","±3,107","4.7%","±0.1"
"        10 to 19 units","668,761","±7,879","6.0%","±0.1","209,394","±5,101","7.9%","±0.2"
"        20 or more units","1,048,049","±9,710","9.4%","±0.1","340,516","±6,023","12.9%","±0.2"
"        Mobile home","764,368","±7,590","6.9%","±0.1","122,250","±2,760","4.6%","±0.1"
"        Boat, RV, van, etc.","19,984","±1,450","0.2%","±0.1","4,178","±843","0.2%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","",""
"    Total housing units","11,112,975","±3,353","11,112,975","(X)","2,646,682","±980","2,646,682","(X)"
"        Built 2014 or later","785,159","±7,830","7.1%","±0.1","215,226","±4,230","8.1%","±0.2"
"        Built 2010 to 2013","572,178","±6,397","5.1%","±0.1","152,346","±3,351","5.8%","±0.1"
