"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Percent Male!!Estimate","Texas!!Percent Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Texas!!Percent Female!!Estimate","Texas!!Percent Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","2,804,109","±2,484","(X)","(X)","1,445,292","±2,083","(X)","(X)","1,358,817","±1,716","(X)","(X)","633,065","±654","(X)","(X)","322,856","±501","(X)","(X)","310,209","±450","(X)","(X)"
"        Less than high school graduate","393,121","±6,126","14.0%","±0.2","225,073","±4,785","15.6%","±0.3","168,048","±3,428","12.4%","±0.3","99,737","±3,148","15.8%","±0.5","55,243","±2,565","17.1%","±0.8","44,494","±1,751","14.3%","±0.6"
"        High school graduate (includes equivalency)","945,458","±8,382","33.7%","±0.3","528,851","±5,368","36.6%","±0.4","416,607","±5,442","30.7%","±0.4","206,312","±4,193","32.6%","±0.7","115,202","±2,948","35.7%","±0.9","91,110","±2,909","29.4%","±0.9"
"        Some college or associate's degree","1,193,185","±9,051","42.6%","±0.3","578,268","±5,669","40.0%","±0.4","614,917","±6,308","45.3%","±0.5","259,625","±3,767","41.0%","±0.6","124,807","±2,788","38.7%","±0.9","134,818","±3,011","43.5%","±1.0"
"        Bachelor's degree or higher","272,345","±5,517","9.7%","±0.2","113,100","±3,528","7.8%","±0.2","159,245","±4,045","11.7%","±0.3","67,391","±2,664","10.6%","±0.4","27,604","±1,887","8.5%","±0.6","39,787","±1,860","12.8%","±0.6"
"    Population 25 years and over","18,449,851","±2,584","(X)","(X)","9,011,589","±2,406","(X)","(X)","9,438,262","±2,018","(X)","(X)","4,491,253","±663","(X)","(X)","2,193,974","±544","(X)","(X)","2,297,279","±536","(X)","(X)"
"        Less than 9th grade","1,444,382","±13,105","7.8%","±0.1","724,615","±7,727","8.0%","±0.1","719,767","±7,647","7.6%","±0.1","376,467","±7,171","8.4%","±0.2","194,293","±4,428","8.9%","±0.2","182,174","±4,267","7.9%","±0.2"
"        9th to 12th grade, no diploma","1,440,352","±13,416","7.8%","±0.1","748,194","±8,566","8.3%","±0.1","692,158","±8,393","7.3%","±0.1","328,727","±5,392","7.3%","±0.1","173,510","±4,159","7.9%","±0.2","155,217","±3,096","6.8%","±0.1"
"        High school graduate (includes equivalency)","4,559,034","±20,311","24.7%","±0.1","2,292,848","±12,671","25.4%","±0.1","2,266,186","±13,682","24.0%","±0.1","1,025,639","±9,181","22.8%","±0.2","509,363","±6,147","23.2%","±0.3","516,276","±6,500","22.5%","±0.3"
"        Some college, no degree","3,974,299","±16,490","21.5%","±0.1","1,908,574","±11,264","21.2%","±0.1","2,065,725","±11,166","21.9%","±0.1","919,042","±10,176","20.5%","±0.2","439,016","±5,789","20.0%","±0.3","480,026","±7,436","20.9%","±0.3"
"        Associate's degree","1,369,606","±10,065","7.4%","±0.1","622,338","±6,311","6.9%","±0.1","747,268","±8,086","7.9%","±0.1","332,754","±5,900","7.4%","±0.1","150,706","±4,327","6.9%","±0.2","182,048","±4,352","7.9%","±0.2"
