"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Labor Force Participation Rate!!Estimate","Texas!!Labor Force Participation Rate!!Margin of Error","Texas!!Employment/Population Ratio!!Estimate","Texas!!Employment/Population Ratio!!Margin of Error","Texas!!Unemployment rate!!Estimate","Texas!!Unemployment rate!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Labor Force Participation Rate!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Labor Force Participation Rate!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Employment/Population Ratio!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Employment/Population Ratio!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Unemployment rate!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Unemployment rate!!Margin of Error"
"Population 16 years and over","22,078,090","±4,615","64.8%","±0.1","61.0%","±0.1","5.3%","±0.1","5,328,736","±2,632","66.6%","±0.2","62.6%","±0.2","5.9%","±0.1"
"    AGE","","","","","","","","","","","","","","","",""
"        16 to 19 years","1,627,356","±5,341","34.3%","±0.3","28.1%","±0.3","16.9%","±0.5","382,828","±2,768","31.9%","±0.8","25.8%","±0.7","19.0%","±1.3"
"        20 to 24 years","2,000,883","±3,068","73.4%","±0.3","65.1%","±0.3","9.5%","±0.3","454,655","±906","73.2%","±0.8","65.0%","±0.9","11.1%","±0.6"
"        25 to 29 years","2,130,985","±2,205","81.3%","±0.3","75.7%","±0.3","5.8%","±0.2","522,073","±700","81.4%","±0.6","76.4%","±0.7","5.9%","±0.4"
"        30 to 34 years","2,079,503","±2,119","81.4%","±0.3","77.0%","±0.3","4.7%","±0.2","526,366","±635","81.9%","±0.6","77.4%","±0.6","5.3%","±0.3"
"        35 to 44 years","3,888,044","±2,712","81.5%","±0.2","77.8%","±0.2","4.1%","±0.1","996,050","±715","82.2%","±0.5","78.3%","±0.5","4.6%","±0.2"
"        45 to 54 years","3,542,967","±2,686","80.1%","±0.2","76.9%","±0.2","3.9%","±0.1","890,422","±611","80.9%","±0.3","77.2%","±0.4","4.4%","±0.2"
"        55 to 59 years","1,702,570","±8,050","72.5%","±0.3","69.7%","±0.3","3.9%","±0.2","416,007","±4,350","73.8%","±0.6","70.5%","±0.7","4.4%","±0.4"
"        60 to 64 years","1,512,413","±8,243","58.5%","±0.3","56.4%","±0.3","3.6%","±0.2","363,361","±4,370","60.8%","±0.7","58.0%","±0.7","4.6%","±0.4"
