Age Group,Total,Labor Force Participation,Employment Population Ratio,Unemployment Rate
Population 16 years and over,"3,254,012",66.5%,61.9%,6.9%
        16 to 19 years,"194,073",25.7%,19.7%,23.2%
        20 to 24 years,"292,361",69.9%,61.9%,11.3%
        25 to 29 years,"372,648",84.2%,78.1%,7.2%
        30 to 34 years,"351,210",84.4%,79.2%,6.0%
        35 to 44 years,"571,032",82.8%,77.9%,5.8%
        45 to 54 years,"516,798",80.6%,76.0%,5.6%
        55 to 59 years,"237,072",73.3%,69.2%,5.7%
        60 to 64 years,"208,031",61.4%,58.1%,5.4%
        65 to 74 years,"290,863",31.5%,29.8%,5.5%
        75 years and over,"219,924",8.4%,7.8%,6.1%
        White alone,"1,621,275",67.2%,62.9%,6.4%
