"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Percent Male!!Estimate","California!!Percent Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Percent Female!!Estimate","California!!Percent Female!!Margin of Error","Los Angeles city, California!!Total!!Estimate","Los Angeles city, California!!Total!!Margin of Error","Los Angeles city, California!!Percent!!Estimate","Los Angeles city, California!!Percent!!Margin of Error","Los Angeles city, California!!Male!!Estimate","Los Angeles city, California!!Male!!Margin of Error","Los Angeles city, California!!Percent Male!!Estimate","Los Angeles city, California!!Percent Male!!Margin of Error","Los Angeles city, California!!Female!!Estimate","Los Angeles city, California!!Female!!Margin of Error","Los Angeles city, California!!Percent Female!!Estimate","Los Angeles city, California!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","3,724,239","±1,093","(X)","(X)","1,914,100","±755","(X)","(X)","1,810,139","±770","(X)","(X)","396,251","±3,813","(X)","(X)","197,761","±2,716","(X)","(X)","198,490","±2,968","(X)","(X)"
"        Less than high school graduate","383,097","±4,474","10.3%","±0.1","229,054","±3,239","12.0%","±0.2","154,043","±3,168","8.5%","±0.2","46,731","±1,769","11.8%","±0.4","27,942","±1,308","14.1%","±0.6","18,789","±1,094","9.5%","±0.5"
"        High school graduate (includes equivalency)","1,164,734","±7,650","31.3%","±0.2","657,609","±5,782","34.4%","±0.3","507,125","±5,252","28.0%","±0.3","101,555","±2,580","25.6%","±0.6","56,242","±1,667","28.4%","±0.7","45,313","±1,764","22.8%","±0.9"
"        Some college or associate's degree","1,749,440","±9,230","47.0%","±0.2","845,388","±6,628","44.2%","±0.3","904,052","±6,686","49.9%","±0.4","191,754","±3,477","48.4%","±0.8","90,716","±2,124","45.9%","±1.0","101,038","±2,521","50.9%","±1.0"
"        Bachelor's degree or higher","426,968","±5,484","11.5%","±0.1","182,049","±3,887","9.5%","±0.2","244,919","±4,004","13.5%","±0.2","56,211","±1,971","14.2%","±0.5","22,861","±1,302","11.6%","±0.6","33,350","±1,457","16.8%","±0.7"
"    Population 25 years and over","26,665,143","±1,135","(X)","(X)","13,070,086","±989","(X)","(X)","13,595,057","±1,056","(X)","(X)","2,767,578","±5,832","(X)","(X)","1,355,685","±4,495","(X)","(X)","1,411,893","±4,789","(X)","(X)"
"        Less than 9th grade","2,367,996","±17,307","8.9%","±0.1","1,125,567","±9,761","8.6%","±0.1","1,242,429","±10,580","9.1%","±0.1","362,826","±4,531","13.1%","±0.2","169,768","±2,741","12.5%","±0.2","193,058","±2,979","13.7%","±0.2"
"        9th to 12th grade, no diploma","1,918,542","±11,125","7.2%","±0.1","1,010,266","±7,919","7.7%","±0.1","908,276","±8,037","6.7%","±0.1","239,034","±4,531","8.6%","±0.2","122,312","±3,127","9.0%","±0.2","116,722","±2,619","8.3%","±0.2"
"        High school graduate (includes equivalency)","5,431,385","±26,859","20.4%","±0.1","2,765,552","±15,614","21.2%","±0.1","2,665,833","±15,823","19.6%","±0.1","520,611","±6,123","18.8%","±0.2","263,568","±3,812","19.4%","±0.3","257,043","±4,147","18.2%","±0.3"
