"Label (Grouping)","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Los Angeles city, California!!Estimate","Los Angeles city, California!!Margin of Error","Los Angeles city, California!!Percent","Los Angeles city, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","",""
"    Total housing units","14,210,945","±1,339","14,210,945","(X)","1,513,791","±4,248","1,513,791","(X)"
"        Occupied housing units","13,103,114","±18,542","92.2%","±0.1","1,402,522","±4,385","92.6%","±0.2"
"        Vacant housing units","1,107,831","±17,610","7.8%","±0.1","111,269","±3,044","7.4%","±0.2"
"        Homeowner vacancy rate","1.1","±0.1","(X)","(X)","1.0","±0.1","(X)","(X)"
"        Rental vacancy rate","3.7","±0.1","(X)","(X)","4.2","±0.2","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","",""
"    Total housing units","14,210,945","±1,339","14,210,945","(X)","1,513,791","±4,248","1,513,791","(X)"
"        1-unit, detached","8,206,621","±14,120","57.7%","±0.1","568,343","±4,292","37.5%","±0.3"
"        1-unit, attached","1,009,488","±6,920","7.1%","±0.1","86,697","±1,717","5.7%","±0.1"
"        2 units","339,846","±4,788","2.4%","±0.1","43,896","±1,484","2.9%","±0.1"
"        3 or 4 units","773,994","±6,138","5.4%","±0.1","92,100","±2,169","6.1%","±0.1"
"        5 to 9 units","840,296","±6,971","5.9%","±0.1","132,740","±2,684","8.8%","±0.2"
"        10 to 19 units","721,132","±6,932","5.1%","±0.1","147,345","±2,830","9.7%","±0.2"
"        20 or more units","1,788,697","±8,488","12.6%","±0.1","432,280","±3,845","28.6%","±0.2"
"        Mobile home","515,666","±5,164","3.6%","±0.1","9,554","±712","0.6%","±0.1"
"        Boat, RV, van, etc.","15,205","±1,029","0.1%","±0.1","836","±208","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","",""
"    Total housing units","14,210,945","±1,339","14,210,945","(X)","1,513,791","±4,248","1,513,791","(X)"
"        Built 2014 or later","339,245","±5,019","2.4%","±0.1","35,247","±1,579","2.3%","±0.1"
"        Built 2010 to 2013","254,491","±3,749","1.8%","±0.1","25,496","±1,359","1.7%","±0.1"
"        Built 2000 to 2009","1,551,054","±8,030","10.9%","±0.1","81,042","±2,225","5.4%","±0.1"
"        Built 1990 to 1999","1,561,612","±10,559","11.0%","±0.1","91,168","±2,057","6.0%","±0.1"
"        Built 1980 to 1989","2,139,882","±9,797","15.1%","±0.1","159,712","±3,081","10.6%","±0.2"
"        Built 1970 to 1979","2,486,977","±11,359","17.5%","±0.1","206,920","±3,194","13.7%","±0.2"
"        Built 1960 to 1969","1,881,533","±8,384","13.2%","±0.1","211,058","±2,843","13.9%","±0.2"
"        Built 1950 to 1959","1,889,798","±8,375","13.3%","±0.1","259,582","±3,843","17.1%","±0.2"
"        Built 1940 to 1949","822,421","±7,496","5.8%","±0.1","144,136","±2,751","9.5%","±0.2"
"        Built 1939 or earlier","1,283,932","±8,120","9.0%","±0.1","299,430","±3,114","19.8%","±0.2"
"ROOMS","","","","","","","",""
"    Total housing units","14,210,945","±1,339","14,210,945","(X)","1,513,791","±4,248","1,513,791","(X)"
"        1 room","561,627","±6,387","4.0%","±0.1","146,936","±2,853","9.7%","±0.2"
"        2 rooms","606,652","±6,046","4.3%","±0.1","123,893","±2,774","8.2%","±0.2"
"        3 rooms","1,682,702","±8,977","11.8%","±0.1","293,258","±4,138","19.4%","±0.3"
"        4 rooms","2,720,109","±13,677","19.1%","±0.1","323,955","±4,038","21.4%","±0.3"
"        5 rooms","2,753,128","±12,761","19.4%","±0.1","233,351","±3,453","15.4%","±0.2"
"        6 rooms","2,409,784","±12,426","17.0%","±0.1","176,915","±2,816","11.7%","±0.2"
"        7 rooms","1,490,105","±10,046","10.5%","±0.1","92,084","±1,924","6.1%","±0.1"
"        8 rooms","1,006,693","±7,777","7.1%","±0.1","60,322","±1,485","4.0%","±0.1"
"        9 rooms or more","980,145","±9,131","6.9%","±0.1","63,077","±1,947","4.2%","±0.1"
"        Median rooms","5.1","±0.1","(X)","(X)","4.1","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","",""
"    Total housing units","14,210,945","±1,339","14,210,945","(X)","1,513,791","±4,248","1,513,791","(X)"
"        No bedroom","632,774","±7,166","4.5%","±0.1","164,277","±3,004","10.9%","±0.2"
"        1 bedroom","1,895,357","±9,231","13.3%","±0.1","366,328","±4,360","24.2%","±0.3"
"        2 bedrooms","3,881,570","±12,689","27.3%","±0.1","466,975","±3,985","30.8%","±0.3"
"        3 bedrooms","4,730,505","±13,345","33.3%","±0.1","338,256","±3,169","22.3%","±0.2"
"        4 bedrooms","2,453,546","±10,039","17.3%","±0.1","134,619","±2,225","8.9%","±0.1"
"        5 or more bedrooms","617,193","±5,204","4.3%","±0.1","43,336","±1,359","2.9%","±0.1"
"HOUSING TENURE","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        Owner-occupied","7,241,318","±35,711","55.3%","±0.2","518,346","±4,528","37.0%","±0.3"
"        Renter-occupied","5,861,796","±20,328","44.7%","±0.2","884,176","±4,374","63.0%","±0.3"
"        Average household size of owner-occupied unit","3.01","±0.01","(X)","(X)","3.04","±0.02","(X)","(X)"
"        Average household size of renter-occupied unit","2.85","±0.01","(X)","(X)","2.61","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        Moved in 2019 or later","581,422","±8,466","4.4%","±0.1","64,722","±2,516","4.6%","±0.2"
