"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/0644000","","Los Angeles","Percent_Person_SleepLessThan7Hours","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",33.2,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/0644000","","Los Angeles","Percent_Person_SleepLessThan7Hours","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",36.6,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/0644000","","Los Angeles","Percent_Person_Obesity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",29.7,"Percentage of Adult Population That Is Obese"
"geoId/0644000","","Los Angeles","Percent_Person_Obesity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",29.5,"Percentage of Adult Population That Is Obese"
"geoId/0644000","","Los Angeles","Percent_Person_Obesity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",27.5,"Percentage of Adult Population That Is Obese"
"geoId/0644000","","Los Angeles","Percent_Person_BingeDrinking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",16.9,"Percentage of Adult Population Who Binge Drink"
"geoId/0644000","","Los Angeles","Percent_Person_BingeDrinking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",14.9,"Percentage of Adult Population Who Binge Drink"
"geoId/0644000","","Los Angeles","Percent_Person_BingeDrinking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",18.1,"Percentage of Adult Population Who Binge Drink"
"geoId/0644000","","Los Angeles","Percent_Person_PhysicalInactivity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",22.5,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/0644000","","Los Angeles","Percent_Person_PhysicalInactivity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",22.8,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/0644000","","Los Angeles","Percent_Person_PhysicalInactivity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",25.1,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/0644000","","Los Angeles","Percent_Person_Smoking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",11.3,"Percentage of Adult Population That Smokes"
"geoId/0644000","","Los Angeles","Percent_Person_Smoking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",11.8,"Percentage of Adult Population That Smokes"
"geoId/0644000","","Los Angeles","Percent_Person_Smoking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",12.6,"Percentage of Adult Population That Smokes"
