Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"396,251","197,761","198,490"
        Less than high school graduate,"46,731","27,942","18,789"
        High school graduate (includes equivalency),"101,555","56,242","45,313"
        Some college or associate's degree,"191,754","90,716","101,038"
        Bachelor's degree or higher,"56,211","22,861","33,350"
    Population 25 years and over,"2,767,578","1,355,685","1,411,893"
        Less than 9th grade,"362,826","169,768","193,058"
"        9th to 12th grade, no diploma","239,034","122,312","116,722"
        High school graduate (includes equivalency),"520,611","263,568","257,043"
"        Some college, no degree","483,942","240,148","243,794"
        Associate's degree,"175,021","79,683","95,338"
        Bachelor's degree,"644,695","314,426","330,269"
        Graduate or professional degree,"341,449","165,780","175,669"
        High school graduate or higher,"2,165,718","1,063,605","1,102,113"
        Bachelor's degree or higher,"986,144","480,206","505,938"
    Population 25 to 34 years,"723,858","370,444","353,414"
        High school graduate or higher,"644,364","324,624","319,740"
        Bachelor's degree or higher,"313,884","147,474","166,410"
    Population 35 to 44 years,"571,032","291,688","279,344"
        High school graduate or higher,"448,321","228,600","219,721"
        Bachelor's degree or higher,"220,639","108,759","111,880"
    Population 45 to 64 years,"961,901","474,852","487,049"
        High school graduate or higher,"703,090","345,551","357,539"
        Bachelor's degree or higher,"294,402","143,838","150,564"
    Population 65 years and over,"510,787","218,701","292,086"
        High school graduate or higher,"369,943","164,830","205,113"
        Bachelor's degree or higher,"157,219","80,135","77,084"
