"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","Los Angeles city, California!!Total!!Estimate","Los Angeles city, California!!Total!!Margin of Error","Los Angeles city, California!!Male!!Estimate","Los Angeles city, California!!Male!!Margin of Error","Los Angeles city, California!!Female!!Estimate","Los Angeles city, California!!Female!!Margin of Error"
"Workers 16 years and over","18,239,892","±23,587","9,925,774","±14,377","8,314,118","±19,722","1,956,957","±6,935","1,058,847","±5,319","898,110","±4,858"
"    MEANS OF TRANSPORTATION TO WORK","","","","","","","","","","","",""
"        Car, truck, or van","82.0%","±0.1","82.7%","±0.1","81.2%","±0.1","76.6%","±0.3","77.8%","±0.4","75.2%","±0.4"
"            Drove alone","72.1%","±0.1","73.1%","±0.1","70.9%","±0.1","67.7%","±0.3","69.2%","±0.4","65.9%","±0.4"
"            Carpooled","10.0%","±0.1","9.6%","±0.1","10.3%","±0.1","8.9%","±0.2","8.5%","±0.2","9.4%","±0.2"
"                In 2-person carpool","7.3%","±0.1","7.0%","±0.1","7.6%","±0.1","6.8%","±0.1","6.4%","±0.2","7.3%","±0.2"
"                In 3-person carpool","1.6%","±0.1","1.5%","±0.1","1.6%","±0.1","1.3%","±0.1","1.2%","±0.1","1.3%","±0.1"
"                In 4-or-more person carpool","1.1%","±0.1","1.1%","±0.1","1.1%","±0.1","0.8%","±0.1","0.9%","±0.1","0.8%","±0.1"
"            Workers per car, truck, or van","1.07","±0.01","1.07","±0.01","1.08","±0.01","1.07","±0.01","1.06","±0.01","1.07","±0.01"
"        Public transportation (excluding taxicab)","4.6%","±0.1","4.4%","±0.1","4.9%","±0.1","8.2%","±0.2","7.6%","±0.2","9.0%","±0.2"
"        Walked","2.5%","±0.1","2.5%","±0.1","2.6%","±0.1","3.3%","±0.1","3.0%","±0.1","3.7%","±0.2"
"        Bicycle","0.8%","±0.1","1.1%","±0.1","0.5%","±0.1","0.8%","±0.1","1.2%","±0.1","0.4%","±0.1"
"        Taxicab, motorcycle, or other means","1.6%","±0.1","1.7%","±0.1","1.4%","±0.1","1.9%","±0.1","2.0%","±0.1","1.8%","±0.1"
"        Worked from home","8.4%","±0.1","7.6%","±0.1","9.3%","±0.1","9.2%","±0.2","8.5%","±0.3","10.0%","±0.3"
"    PLACE OF WORK","","","","","","","","","","","",""
"        Worked in state of residence","99.5%","±0.1","99.4%","±0.1","99.7%","±0.1","99.6%","±0.1","99.5%","±0.1","99.7%","±0.1"
"            Worked in county of residence","82.9%","±0.1","80.7%","±0.1","85.5%","±0.1","96.6%","±0.1","95.9%","±0.1","97.4%","±0.1"
"            Worked outside county of residence","16.7%","±0.1","18.7%","±0.1","14.2%","±0.1","3.0%","±0.1","3.6%","±0.1","2.3%","±0.1"
"        Worked outside state of residence","0.5%","±0.1","0.6%","±0.1","0.3%","±0.1","0.4%","±0.1","0.5%","±0.1","0.3%","±0.1"
"        Living in a place","95.9%","±0.1","95.7%","±0.1","96.1%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"            Worked in place of residence","36.3%","±0.1","34.1%","±0.1","39.0%","±0.1","65.8%","±0.3","64.6%","±0.4","67.1%","±0.4"
"            Worked outside place of residence","59.5%","±0.1","61.5%","±0.1","57.1%","±0.1","34.2%","±0.3","35.4%","±0.4","32.9%","±0.4"
"        Not living in a place","4.1%","±0.1","4.3%","±0.1","3.9%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Living in 12 selected states","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked in minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked outside minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Not living in 12 selected states","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"Workers 16 years and over who did not work from home","16,710,195","±24,763","9,170,125","±15,694","7,540,070","±18,926","1,777,460","±7,086","969,347","±5,252","808,113","±4,955"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","6.3%","±0.1","8.3%","±0.1","3.9%","±0.1","4.7%","±0.1","5.8%","±0.2","3.3%","±0.2"
"        5:00 a.m. to 5:29 a.m.","4.6%","±0.1","6.1%","±0.1","2.7%","±0.1","3.9%","±0.1","4.9%","±0.2","2.6%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.7%","±0.1","5.7%","±0.1","3.5%","±0.1","3.8%","±0.1","4.5%","±0.1","2.8%","±0.1"
"        6:00 a.m. to 6:29 a.m.","8.6%","±0.1","10.2%","±0.1","6.8%","±0.1","8.3%","±0.2","9.9%","±0.2","6.5%","±0.2"
"        6:30 a.m. to 6:59 a.m.","8.1%","±0.1","8.1%","±0.1","8.1%","±0.1","6.9%","±0.1","6.7%","±0.2","7.1%","±0.2"
"        7:00 a.m. to 7:29 a.m.","13.4%","±0.1","12.6%","±0.1","14.4%","±0.1","14.0%","±0.2","13.5%","±0.3","14.6%","±0.3"
"        7:30 a.m. to 7:59 a.m.","10.5%","±0.1","8.7%","±0.1","12.7%","±0.1","8.7%","±0.2","7.5%","±0.2","10.3%","±0.2"
"        8:00 a.m. to 8:29 a.m.","11.9%","±0.1","10.8%","±0.1","13.3%","±0.1","13.2%","±0.2","12.4%","±0.3","14.2%","±0.4"
