"Label (Grouping)","California!!Households!!Estimate","California!!Households!!Margin of Error","California!!Families!!Estimate","California!!Families!!Margin of Error","California!!Married-couple families!!Estimate","California!!Married-couple families!!Margin of Error","California!!Nonfamily households!!Estimate","California!!Nonfamily households!!Margin of Error","Los Angeles city, California!!Households!!Estimate","Los Angeles city, California!!Households!!Margin of Error","Los Angeles city, California!!Families!!Estimate","Los Angeles city, California!!Families!!Margin of Error","Los Angeles city, California!!Married-couple families!!Estimate","Los Angeles city, California!!Married-couple families!!Margin of Error","Los Angeles city, California!!Nonfamily households!!Estimate","Los Angeles city, California!!Nonfamily households!!Margin of Error"
"Total","13,103,114","±18,542","8,986,666","±23,960","6,510,580","±28,316","4,116,448","±12,837","1,402,522","±4,385","830,131","±4,327","542,563","±4,178","572,391","±5,787"
"    Less than $10,000","4.7%","±0.1","3.1%","±0.1","1.4%","±0.1","9.5%","±0.1","6.6%","±0.2","4.0%","±0.1","1.7%","±0.1","11.4%","±0.3"
"    $10,000 to $14,999","3.9%","±0.1","2.1%","±0.1","1.1%","±0.1","8.4%","±0.1","5.5%","±0.2","2.9%","±0.1","1.7%","±0.1","9.6%","±0.3"
"    $15,000 to $24,999","6.9%","±0.1","5.6%","±0.1","3.8%","±0.1","10.9%","±0.1","8.6%","±0.2","8.2%","±0.2","6.2%","±0.3","10.1%","±0.3"
"    $25,000 to $34,999","7.1%","±0.1","6.4%","±0.1","4.8%","±0.1","9.3%","±0.1","8.1%","±0.2","8.1%","±0.2","6.3%","±0.2","8.6%","±0.3"
"    $35,000 to $49,999","10.0%","±0.1","9.7%","±0.1","8.0%","±0.1","11.3%","±0.1","11.1%","±0.2","11.3%","±0.2","9.5%","±0.3","11.0%","±0.3"
"    $50,000 to $74,999","15.3%","±0.1","15.2%","±0.1","13.9%","±0.1","15.6%","±0.2","15.4%","±0.3","15.7%","±0.3","14.5%","±0.4","14.8%","±0.5"
"    $75,000 to $99,999","12.3%","±0.1","12.8%","±0.1","13.0%","±0.1","10.8%","±0.1","11.4%","±0.2","11.7%","±0.2","12.1%","±0.3","10.6%","±0.3"
"    $100,000 to $149,999","17.1%","±0.1","18.7%","±0.1","20.8%","±0.1","12.4%","±0.1","14.9%","±0.2","16.1%","±0.3","18.4%","±0.4","12.3%","±0.4"
"    $150,000 to $199,999","9.4%","±0.1","10.8%","±0.1","13.0%","±0.1","5.4%","±0.1","7.4%","±0.2","8.5%","±0.2","11.0%","±0.3","5.2%","±0.3"
"    $200,000 or more","13.3%","±0.1","15.7%","±0.1","20.1%","±0.1","6.6%","±0.1","10.9%","±0.2","13.4%","±0.3","18.6%","±0.4","6.4%","±0.3"
"Median income (dollars)","78,672","±270","89,798","±376","107,711","±392","50,894","±236","65,290","±424","74,471","±702","95,203","±1,227","48,887","±707"
"Mean income (dollars)","111,622","±320","124,332","±420","144,339","±492","76,668","±374","101,006","±769","115,430","±1,177","140,644","±1,727","75,115","±1,107"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","37.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","38.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.4%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.3%","(X)"
