,Total Estimate,Male,Female
Workers 16 years and over,"874,997","439,639","435,358"
"        Car, truck, or van",7.7%,9.0%,6.4%
            Drove alone,5.8%,7.1%,4.5%
            Carpooled,1.9%,1.9%,1.9%
                In 2-person carpool,1.1%,1.2%,1.0%
                In 3-person carpool,0.3%,0.3%,0.4%
                In 4-or-more person carpool,0.5%,0.4%,0.5%
"            Workers per car, truck, or van",1.18,1.15,1.23
        Public transportation (excluding taxicab),54.9%,52.9%,56.9%
        Walked,19.7%,19.4%,20.0%
        Bicycle,2.3%,3.2%,1.3%
"        Taxicab, motorcycle, or other means",3.5%,3.5%,3.4%
        Worked from home,12.0%,11.9%,12.0%
