Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"145,611","65,104","80,507"
        Less than high school graduate,"11,172","6,392","4,780"
        High school graduate (includes equivalency),"27,293","13,162","14,131"
        Some college or associate's degree,"57,718","24,366","33,352"
        Bachelor's degree or higher,"49,428","21,184","28,244"
    Population 25 years and over,"1,250,303","588,768","661,535"
        Less than 9th grade,"82,228","34,845","47,383"
"        9th to 12th grade, no diploma","69,786","35,763","34,023"
        High school graduate (includes equivalency),"152,846","74,571","78,275"
"        Some college, no degree","121,216","56,815","64,401"
        Associate's degree,"46,744","19,513","27,231"
        Bachelor's degree,"396,161","186,180","209,981"
        Graduate or professional degree,"381,322","181,081","200,241"
        High school graduate or higher,"1,098,289","518,160","580,129"
        Bachelor's degree or higher,"777,483","367,261","410,222"
    Population 25 to 34 years,"362,435","174,662","187,773"
        High school graduate or higher,"345,485","164,583","180,902"
        Bachelor's degree or higher,"277,944","127,525","150,419"
    Population 35 to 44 years,"233,553","116,087","117,466"
        High school graduate or higher,"214,738","105,929","108,809"
        Bachelor's degree or higher,"159,305","77,012","82,293"
    Population 45 to 64 years,"383,565","187,229","196,336"
        High school graduate or higher,"329,427","160,440","168,987"
        Bachelor's degree or higher,"211,850","103,870","107,980"
    Population 65 years and over,"270,750","110,790","159,960"
        High school graduate or higher,"208,639","87,208","121,431"
        Bachelor's degree or higher,"128,384","58,854","69,530"
