"Label (Grouping)","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate"
"Workers 16 years and over","874,997","439,639","435,358"
"    MEANS OF TRANSPORTATION TO WORK","","",""
"        Car, truck, or van","7.7%","9.0%","6.4%"
"            Drove alone","5.8%","7.1%","4.5%"
"            Carpooled","1.9%","1.9%","1.9%"
"                In 2-person carpool","1.1%","1.2%","1.0%"
"                In 3-person carpool","0.3%","0.3%","0.4%"
"                In 4-or-more person carpool","0.5%","0.4%","0.5%"
"            Workers per car, truck, or van","1.18","1.15","1.23"
"        Public transportation (excluding taxicab)","54.9%","52.9%","56.9%"
"        Walked","19.7%","19.4%","20.0%"
"        Bicycle","2.3%","3.2%","1.3%"
"        Taxicab, motorcycle, or other means","3.5%","3.5%","3.4%"
"        Worked from home","12.0%","11.9%","12.0%"
"    PLACE OF WORK","","",""
"        Worked in state of residence","96.3%","95.7%","96.9%"
"            Worked in county of residence","85.6%","84.9%","86.3%"
"            Worked outside county of residence","10.7%","10.8%","10.6%"
"        Worked outside state of residence","3.7%","4.3%","3.1%"
"        Living in a place","100.0%","100.0%","100.0%"
"            Worked in place of residence","94.3%","93.6%","95.1%"
"            Worked outside place of residence","5.7%","6.4%","4.9%"
"        Not living in a place","0.0%","0.0%","0.0%"
"        Living in 12 selected states","100.0%","100.0%","100.0%"
"            Worked in minor civil division of residence","85.6%","84.9%","86.3%"
"            Worked outside minor civil division of residence","14.4%","15.1%","13.7%"
"        Not living in 12 selected states","0.0%","0.0%","0.0%"
"Workers 16 years and over who did not work from home","770,396","387,138","383,258"
"    TIME OF DEPARTURE TO GO TO WORK","","",""
"        12:00 a.m. to 4:59 a.m.","1.2%","1.6%","0.9%"
"        5:00 a.m. to 5:29 a.m.","1.3%","1.6%","0.9%"
"        5:30 a.m. to 5:59 a.m.","1.2%","1.4%","0.9%"
"        6:00 a.m. to 6:29 a.m.","4.1%","4.8%","3.3%"
"        6:30 a.m. to 6:59 a.m.","4.3%","4.6%","3.9%"
"        7:00 a.m. to 7:29 a.m.","9.6%","9.6%","9.6%"
"        7:30 a.m. to 7:59 a.m.","10.2%","10.2%","10.1%"
"        8:00 a.m. to 8:29 a.m.","20.2%","20.1%","20.3%"
"        8:30 a.m. to 8:59 a.m.","14.9%","13.7%","16.2%"
"        9:00 a.m. to 11:59 p.m.","33.2%","32.5%","33.9%"
"    TRAVEL TIME TO WORK","","",""
"        Less than 10 minutes","5.4%","5.9%","4.9%"
"        10 to 14 minutes","6.5%","6.5%","6.5%"
"        15 to 19 minutes","9.8%","9.9%","9.6%"
"        20 to 24 minutes","14.3%","15.4%","13.1%"
"        25 to 29 minutes","7.8%","8.2%","7.3%"
"        30 to 34 minutes","20.6%","19.9%","21.3%"
"        35 to 44 minutes","12.3%","11.6%","13.0%"
"        45 to 59 minutes","12.5%","11.7%","13.2%"
"        60 or more minutes","10.9%","10.8%","11.0%"
"        Mean travel time to work (minutes)","32.1","31.5","32.7"
"VEHICLES AVAILABLE","","",""
"    Workers 16 years and over in households","863,044","435,092","427,952"
"        No vehicle available","72.6%","70.7%","74.5%"
"        1 vehicle available","23.3%","24.9%","21.7%"
"        2 vehicles available","3.3%","3.5%","3.0%"
"        3 or more vehicles available","0.8%","0.8%","0.8%"
"PERCENT ALLOCATED","","",""
"    Means of transportation to work","14.0%","(X)","(X)"
"    Private vehicle occupancy","16.1%","(X)","(X)"
"    Place of work","16.0%","(X)","(X)"
"    Time of departure to go to work","24.4%","(X)","(X)"
"    Travel time to work","19.4%","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)"
