"Label (Grouping)","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","145,611","65,104","80,507"
"        Less than high school graduate","11,172","6,392","4,780"
"        High school graduate (includes equivalency)","27,293","13,162","14,131"
"        Some college or associate's degree","57,718","24,366","33,352"
"        Bachelor's degree or higher","49,428","21,184","28,244"
"    Population 25 years and over","1,250,303","588,768","661,535"
"        Less than 9th grade","82,228","34,845","47,383"
"        9th to 12th grade, no diploma","69,786","35,763","34,023"
"        High school graduate (includes equivalency)","152,846","74,571","78,275"
"        Some college, no degree","121,216","56,815","64,401"
"        Associate's degree","46,744","19,513","27,231"
"        Bachelor's degree","396,161","186,180","209,981"
"        Graduate or professional degree","381,322","181,081","200,241"
"        High school graduate or higher","1,098,289","518,160","580,129"
"        Bachelor's degree or higher","777,483","367,261","410,222"
"    Population 25 to 34 years","362,435","174,662","187,773"
"        High school graduate or higher","345,485","164,583","180,902"
"        Bachelor's degree or higher","277,944","127,525","150,419"
"    Population 35 to 44 years","233,553","116,087","117,466"
"        High school graduate or higher","214,738","105,929","108,809"
"        Bachelor's degree or higher","159,305","77,012","82,293"
"    Population 45 to 64 years","383,565","187,229","196,336"
"        High school graduate or higher","329,427","160,440","168,987"
"        Bachelor's degree or higher","211,850","103,870","107,980"
"    Population 65 years and over","270,750","110,790","159,960"
"        High school graduate or higher","208,639","87,208","121,431"
"        Bachelor's degree or higher","128,384","58,854","69,530"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","720,182","349,080","371,102"
"        High school graduate or higher","685,352","332,431","352,921"
"        Bachelor's degree or higher","563,281","274,622","288,659"
"    White alone, not Hispanic or Latino","620,162","301,608","318,554"
"        High school graduate or higher","609,802","296,244","313,558"
"        Bachelor's degree or higher","523,830","255,337","268,493"
"    Black alone","169,893","76,925","92,968"
"        High school graduate or higher","139,797","62,382","77,415"
"        Bachelor's degree or higher","52,469","22,500","29,969"
"    American Indian or Alaska Native alone","4,957","2,613","2,344"
"        High school graduate or higher","3,387","1,911","1,476"
"        Bachelor's degree or higher","908","461","447"
"    Asian alone","158,163","68,745","89,418"
"        High school graduate or higher","129,430","56,236","73,194"
"        Bachelor's degree or higher","105,605","45,340","60,265"
"    Native Hawaiian and Other Pacific Islander alone","684","335","349"
"        High school graduate or higher","610","261","349"
"        Bachelor's degree or higher","244","115","129"
"    Some other race alone","133,765","61,970","71,795"
"        High school graduate or higher","88,377","41,668","46,709"
"        Bachelor's degree or higher","26,702","11,263","15,439"
"    Two or more races","62,659","29,100","33,559"
"        High school graduate or higher","51,336","23,271","28,065"
"        Bachelor's degree or higher","28,274","12,960","15,314"
"    Hispanic or Latino Origin","296,809","138,317","158,492"
"        High school graduate or higher","209,735","98,475","111,260"
"        Bachelor's degree or higher","82,513","37,359","45,154"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","70,675","80,367","62,177"
"        Less than high school graduate","21,808","25,909","17,451"
"        High school graduate (includes equivalency)","31,091","34,817","26,016"
"        Some college or associate's degree","39,446","44,338","34,674"
"        Bachelor's degree","82,717","97,946","72,127"
"        Graduate or professional degree","104,488","132,038","86,468"
