"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/3651000","","New York City","Percent_Person_SleepLessThan7Hours","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",35.4,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/3651000","","New York City","Percent_Person_SleepLessThan7Hours","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",39.5,"Percentage of Adult Population That Sleeps Less Than 7 Hours Per Night"
"geoId/3651000","","New York City","Percent_Person_Obesity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",25.2,"Percentage of Adult Population That Is Obese"
"geoId/3651000","","New York City","Percent_Person_Obesity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",27.4,"Percentage of Adult Population That Is Obese"
"geoId/3651000","","New York City","Percent_Person_Obesity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",27,"Percentage of Adult Population That Is Obese"
"geoId/3651000","","New York City","Percent_Person_BingeDrinking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",15.6,"Percentage of Adult Population Who Binge Drink"
"geoId/3651000","","New York City","Percent_Person_BingeDrinking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",16.1,"Percentage of Adult Population Who Binge Drink"
"geoId/3651000","","New York City","Percent_Person_BingeDrinking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",17.6,"Percentage of Adult Population Who Binge Drink"
"geoId/3651000","","New York City","Percent_Person_PhysicalInactivity","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",28.7,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/3651000","","New York City","Percent_Person_PhysicalInactivity","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",28.3,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/3651000","","New York City","Percent_Person_PhysicalInactivity","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",27.8,"Percentage of Adult Population Who Are Physically Inactive"
"geoId/3651000","","New York City","Percent_Person_Smoking","2020","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",14.3,"Percentage of Adult Population That Smokes"
"geoId/3651000","","New York City","Percent_Person_Smoking","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",14.1,"Percentage of Adult Population That Smokes"
"geoId/3651000","","New York City","Percent_Person_Smoking","2022","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",12.8,"Percentage of Adult Population That Smokes"
