Means of Transportation,Pennsylvania Total Commute Time,Male Total,Female Total,Philadelphia Metro Total,Philadelphia Male Total,Philadelphia Female Total
Workers 16 years and over,"6,085,959","3,169,366","2,916,593","693,490","335,064","358,426"
"        Car, truck, or van",82.6%,83.7%,81.5%,57.7%,60.3%,55.2%
            Drove alone,74.4%,75.5%,73.3%,49.5%,52.0%,47.1%
            Carpooled,8.2%,8.2%,8.2%,8.2%,8.2%,8.1%
                In 2-person carpool,6.4%,6.3%,6.4%,6.1%,6.3%,6.0%
                In 3-person carpool,1.0%,1.0%,1.1%,1.1%,1.1%,1.1%
                In 4-or-more person carpool,0.8%,0.9%,0.7%,0.9%,0.8%,1.0%
"            Workers per car, truck, or van",1.06,1.06,1.06,1.09,1.08,1.09
        Public transportation (excluding taxicab),5.2%,4.6%,5.8%,23.2%,20.6%,25.7%
        Walked,3.5%,3.4%,3.6%,7.9%,7.7%,8.1%
        Bicycle,0.5%,0.6%,0.3%,2.1%,2.7%,1.5%
"        Taxicab, motorcycle, or other means",1.1%,1.2%,1.0%,2.1%,2.2%,1.9%
        Worked from home,7.1%,6.6%,7.7%,7.0%,6.5%,7.6%
        Worked in state of residence,94.9%,94.0%,96.0%,93.8%,92.3%,95.3%
            Worked in county of residence,70.8%,68.1%,73.8%,75.2%,73.0%,77.3%
            Worked outside county of residence,24.1%,25.9%,22.2%,18.6%,19.3%,18.0%
        Worked outside state of residence,5.1%,6.0%,4.0%,6.2%,7.7%,4.7%
        Living in a place,55.5%,54.1%,57.1%,100.0%,100.0%,100.0%
            Worked in place of residence,19.2%,17.5%,21.1%,75.2%,73.0%,77.3%
            Worked outside place of residence,36.3%,36.5%,36.0%,24.8%,27.0%,22.7%
        Not living in a place,44.5%,45.9%,42.9%,0.0%,0.0%,0.0%
        Living in 12 selected states,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
            Worked in minor civil division of residence,28.3%,26.7%,30.0%,75.2%,73.0%,77.3%
            Worked outside minor civil division of residence,71.7%,73.3%,70.0%,24.8%,27.0%,22.7%
        Not living in 12 selected states,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Workers 16 years and over who did not work from home,"5,652,158","2,960,945","2,691,213","644,602","313,341","331,261"
        12:00 a.m. to 4:59 a.m.,4.7%,6.5%,2.8%,3.4%,4.6%,2.2%
        5:00 a.m. to 5:29 a.m.,3.9%,5.3%,2.3%,3.7%,4.7%,2.7%
        5:30 a.m. to 5:59 a.m.,5.3%,6.7%,3.7%,3.8%,4.1%,3.6%
        6:00 a.m. to 6:29 a.m.,9.2%,10.8%,7.4%,9.4%,11.2%,7.8%
        6:30 a.m. to 6:59 a.m.,10.4%,10.9%,9.9%,8.2%,7.8%,8.6%
        7:00 a.m. to 7:29 a.m.,14.0%,13.1%,15.1%,14.1%,12.3%,15.7%
        7:30 a.m. to 7:59 a.m.,11.9%,10.1%,13.9%,10.5%,9.2%,11.8%
        8:00 a.m. to 8:29 a.m.,10.7%,9.2%,12.3%,12.6%,11.5%,13.5%
        8:30 a.m. to 8:59 a.m.,5.7%,4.6%,7.0%,7.3%,6.8%,7.7%
        9:00 a.m. to 11:59 p.m.,24.1%,22.8%,25.6%,27.1%,27.9%,26.4%
        Less than 10 minutes,12.9%,12.1%,13.8%,6.1%,5.7%,6.4%
        10 to 14 minutes,13.1%,12.2%,14.1%,7.8%,7.6%,8.0%
        15 to 19 minutes,14.6%,13.8%,15.4%,10.9%,11.0%,10.8%
        20 to 24 minutes,13.9%,13.5%,14.4%,13.6%,13.2%,13.9%
        25 to 29 minutes,6.8%,6.7%,6.9%,6.6%,6.7%,6.5%
        30 to 34 minutes,13.0%,13.4%,12.7%,18.6%,18.3%,18.9%
        35 to 44 minutes,7.7%,8.0%,7.4%,9.3%,9.4%,9.3%
        45 to 59 minutes,8.8%,9.5%,8.1%,12.7%,12.7%,12.6%
        60 or more minutes,9.2%,10.8%,7.3%,14.4%,15.3%,13.5%
        Mean travel time to work (minutes),27.1,28.8,25.3,33.4,34.1,32.8
    Workers 16 years and over in households,"6,018,149","3,141,322","2,876,827","684,789","331,619","353,170"
        No vehicle available,5.0%,4.6%,5.4%,17.2%,15.3%,19.1%
        1 vehicle available,21.4%,19.5%,23.5%,40.1%,38.8%,41.3%
        2 vehicles available,41.6%,42.5%,40.5%,29.7%,31.5%,28.0%
        3 or more vehicles available,32.0%,33.3%,30.6%,13.0%,14.4%,11.6%
    Means of transportation to work,11.6%,(X),(X),17.5%,(X),(X)
    Private vehicle occupancy,12.7%,(X),(X),18.9%,(X),(X)
    Place of work,15.6%,(X),(X),22.0%,(X),(X)
    Time of departure to go to work,22.6%,(X),(X),29.1%,(X),(X)
    Travel time to work,16.2%,(X),(X),24.6%,(X),(X)
    Vehicles available,1.3%,(X),(X),1.9%,(X),(X)
