Housing Occupancy Status,Philadelphia Total Housing Units,Philadelphia % Housing Units
    Total housing units,"689,121","689,121"
        Occupied housing units,"613,125",89.0%
        Vacant housing units,"75,996",11.0%
        Homeowner vacancy rate,1.5,(X)
        Rental vacancy rate,5.6,(X)
    Total housing units,"689,121","689,121"
"        1-unit, detached","55,699",8.1%
"        1-unit, attached","401,256",58.2%
        2 units,"54,377",7.9%
        3 or 4 units,"41,665",6.0%
        5 to 9 units,"26,009",3.8%
        10 to 19 units,"16,686",2.4%
        20 or more units,"91,463",13.3%
        Mobile home,"1,773",0.3%
"        Boat, RV, van, etc.",193,0.0%
    Total housing units,"689,121","689,121"
        Built 2014 or later,"13,741",2.0%
        Built 2010 to 2013,"8,422",1.2%
        Built 2000 to 2009,"20,231",2.9%
        Built 1990 to 1999,"22,801",3.3%
        Built 1980 to 1989,"26,405",3.8%
        Built 1970 to 1979,"49,888",7.2%
        Built 1960 to 1969,"76,139",11.0%
        Built 1950 to 1959,"109,972",16.0%
        Built 1940 to 1949,"77,075",11.2%
        Built 1939 or earlier,"284,447",41.3%
    Total housing units,"689,121","689,121"
        1 room,"28,395",4.1%
        2 rooms,"31,519",4.6%
        3 rooms,"80,528",11.7%
        4 rooms,"94,498",13.7%
        5 rooms,"97,159",14.1%
        6 rooms,"177,364",25.7%
        7 rooms,"92,365",13.4%
        8 rooms,"44,540",6.5%
        9 rooms or more,"42,753",6.2%
        Median rooms,5.6,(X)
    Total housing units,"689,121","689,121"
        No bedroom,"31,643",4.6%
        1 bedroom,"108,930",15.8%
        2 bedrooms,"148,643",21.6%
        3 bedrooms,"316,788",46.0%
        4 bedrooms,"62,068",9.0%
        5 or more bedrooms,"21,049",3.1%
    Occupied housing units,"613,125","613,125"
        Owner-occupied,"323,784",52.8%
        Renter-occupied,"289,341",47.2%
        Average household size of owner-occupied unit,2.64,(X)
        Average household size of renter-occupied unit,2.34,(X)
    Occupied housing units,"613,125","613,125"
        Moved in 2019 or later,"31,880",5.2%
        Moved in 2015 to 2018,"180,983",29.5%
        Moved in 2010 to 2014,"113,364",18.5%
        Moved in 2000 to 2009,"121,109",19.8%
        Moved in 1990 to 1999,"65,872",10.7%
        Moved in 1989 and earlier,"99,917",16.3%
    Occupied housing units,"613,125","613,125"
        No vehicles available,"176,020",28.7%
        1 vehicle available,"273,668",44.6%
        2 vehicles available,"126,268",20.6%
        3 or more vehicles available,"37,169",6.1%
    Occupied housing units,"613,125","613,125"
        Utility gas,"443,652",72.4%
"        Bottled, tank, or LP gas","7,588",1.2%
        Electricity,"133,767",21.8%
"        Fuel oil, kerosene, etc.","21,019",3.4%
        Coal or coke,315,0.1%
        Wood,751,0.1%
        Solar energy,175,0.0%
        Other fuel,"1,706",0.3%
        No fuel used,"4,152",0.7%
    Occupied housing units,"613,125","613,125"
        Lacking complete plumbing facilities,"2,398",0.4%
        Lacking complete kitchen facilities,"5,391",0.9%
        No telephone service available,"11,459",1.9%
    Occupied housing units,"613,125","613,125"
        1.00 or less,"596,207",97.2%
        1.01 to 1.50,"10,428",1.7%
        1.51 or more,"6,490",1.1%
    Owner-occupied units,"323,784","323,784"
"        Less than $50,000","19,363",6.0%
"        $50,000 to $99,999","57,984",17.9%
"        $100,000 to $149,999","56,629",17.5%
"        $150,000 to $199,999","56,890",17.6%
"        $200,000 to $299,999","69,131",21.4%
"        $300,000 to $499,999","40,566",12.5%
"        $500,000 to $999,999","19,037",5.9%
"        $1,000,000 or more","4,184",1.3%
        Median (dollars),"171,600",(X)
    Owner-occupied units,"323,784","323,784"
        Housing units with a mortgage,"194,603",60.1%
        Housing units without a mortgage,"129,181",39.9%
    Housing units with a mortgage,"194,603","194,603"
        Less than $500,"3,572",1.8%
        $500 to $999,"48,338",24.8%
"        $1,000 to $1,499","64,577",33.2%
"        $1,500 to $1,999","39,708",20.4%
"        $2,000 to $2,499","18,180",9.3%
"        $2,500 to $2,999","8,598",4.4%
"        $3,000 or more","11,630",6.0%
        Median (dollars),"1,343",(X)
    Housing units without a mortgage,"129,181","129,181"
        Less than $250,"14,167",11.0%
        $250 to $399,"33,684",26.1%
        $400 to $599,"46,461",36.0%
        $600 to $799,"19,253",14.9%
        $800 to $999,"7,319",5.7%
