"Label (Grouping)","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","155,374","±80","(X)","(X)","76,358","±76","(X)","(X)","79,016","±16","(X)","(X)"
"        Less than high school graduate","18,784","±1,309","12.1%","±0.8","11,260","±1,062","14.7%","±1.4","7,524","±770","9.5%","±1.0"
"        High school graduate (includes equivalency)","50,653","±1,791","32.6%","±1.1","27,210","±1,436","35.6%","±1.9","23,443","±999","29.7%","±1.3"
"        Some college or associate's degree","62,629","±1,898","40.3%","±1.2","27,619","±1,307","36.2%","±1.7","35,010","±1,259","44.3%","±1.6"
"        Bachelor's degree or higher","23,308","±1,192","15.0%","±0.8","10,269","±983","13.4%","±1.3","13,039","±759","16.5%","±1.0"
"    Population 25 years and over","1,082,283","±79","(X)","(X)","497,449","±81","(X)","(X)","584,834","±23","(X)","(X)"
"        Less than 9th grade","56,891","±2,723","5.3%","±0.3","26,255","±1,849","5.3%","±0.4","30,636","±1,501","5.2%","±0.3"
"        9th to 12th grade, no diploma","97,453","±3,129","9.0%","±0.3","45,623","±1,744","9.2%","±0.4","51,830","±2,520","8.9%","±0.4"
"        High school graduate (includes equivalency)","344,083","±4,708","31.8%","±0.4","165,501","±2,911","33.3%","±0.6","178,582","±3,368","30.5%","±0.6"
