"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Below poverty level!!Estimate","Pennsylvania!!Below poverty level!!Margin of Error","Pennsylvania!!Percent below poverty level!!Estimate","Pennsylvania!!Percent below poverty level!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Below poverty level!!Estimate","Philadelphia city, Pennsylvania!!Below poverty level!!Margin of Error","Philadelphia city, Pennsylvania!!Percent below poverty level!!Estimate","Philadelphia city, Pennsylvania!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","12,387,061","±1,951","1,480,430","±18,271","12.0%","±0.1","1,538,102","±1,676","354,832","±9,378","23.1%","±0.6"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","2,600,657","±1,944","434,413","±9,434","16.7%","±0.4","336,444","±929","108,436","±4,665","32.2%","±1.4"
"            Under 5 years","689,914","±1,220","125,872","±3,791","18.2%","±0.5","102,337","±483","29,115","±2,032","28.5%","±2.0"
"            5 to 17 years","1,910,743","±1,541","308,541","±7,060","16.1%","±0.4","234,107","±759","79,321","±3,824","33.9%","±1.6"
"            Related children of householder under 18 years","2,590,247","±2,358","424,592","±9,375","16.4%","±0.4","335,085","±978","107,171","±4,682","32.0%","±1.4"
"        18 to 64 years","7,530,512","±1,103","860,604","±10,742","11.4%","±0.1","990,941","±1,188","208,343","±5,606","21.0%","±0.6"
"            18 to 34 years","2,632,842","±1,151","398,299","±5,902","15.1%","±0.2","432,139","±1,128","94,857","±3,227","22.0%","±0.8"
"            35 to 64 years","4,897,670","±1,553","462,305","±7,342","9.4%","±0.1","558,802","±421","113,486","±3,872","20.3%","±0.7"
"        60 years and over","3,133,412","±5,318","269,504","±4,997","8.6%","±0.2","301,073","±2,316","58,630","±2,951","19.5%","±1.0"
"        65 years and over","2,255,892","±1,052","185,413","±4,059","8.2%","±0.2","210,717","±559","38,053","±2,600","18.1%","±1.2"
"    SEX","","","","","","","","","","","",""
"        Male","6,043,302","±2,329","653,231","±10,375","10.8%","±0.2","727,188","±1,120","158,606","±4,844","21.8%","±0.7"
"        Female","6,343,759","±2,403","827,199","±10,224","13.0%","±0.2","810,914","±1,157","196,226","±5,395","24.2%","±0.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","9,869,253","±8,873","916,064","±11,925","9.3%","±0.1","599,563","±4,463","90,444","±4,404","15.1%","±0.7"
"        Black or African American alone","1,338,472","±6,088","332,886","±8,718","24.9%","±0.6","640,451","±4,605","177,424","±6,926","27.7%","±1.1"
"        American Indian and Alaska Native alone","19,619","±1,255","4,819","±697","24.6%","±3.4","5,103","±711","1,235","±341","24.2%","±6.3"
"        Asian alone","434,781","±2,751","58,408","±3,223","13.4%","±0.7","112,847","±1,392","26,183","±2,263","23.2%","±1.9"
"        Native Hawaiian and Other Pacific Islander alone","4,042","±465","905","±201","22.4%","±4.9","578","±157","209","±113","36.2%","±18.4"
"        Some other race alone","304,003","±7,984","90,871","±5,674","29.9%","±1.7","113,943","±4,969","46,735","±4,926","41.0%","±3.5"
"        Two or more races","416,891","±8,274","76,477","±3,917","18.3%","±0.9","65,617","±5,184","12,602","±2,025","19.2%","±2.7"
"        Hispanic or Latino origin (of any race)","938,779","±1,296","249,217","±7,419","26.5%","±0.8","234,212","±520","82,109","±5,079","35.1%","±2.2"
"        White alone, not Hispanic or Latino","9,415,139","±6,034","803,629","±10,777","8.5%","±0.1","519,186","±1,624","64,730","±3,174","12.5%","±0.6"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","8,812,474","±1,052","845,885","±9,734","9.6%","±0.1","1,069,763","±693","203,589","±5,302","19.0%","±0.5"
"            Less than high school graduate","768,604","±7,983","185,130","±4,482","24.1%","±0.5","150,741","±3,924","53,813","±3,127","35.7%","±1.8"
"            High school graduate (includes equivalency)","2,980,840","±13,762","356,734","±5,626","12.0%","±0.2","338,340","±4,644","80,490","±2,896","23.8%","±0.8"
"            Some college, associate's degree","2,171,367","±11,198","192,314","±3,755","8.9%","±0.2","244,441","±5,070","41,650","±1,960","17.0%","±0.8"
"            Bachelor's degree or higher","2,891,663","±16,052","111,707","±3,276","3.9%","±0.1","336,241","±4,495","27,636","±2,007","8.2%","±0.6"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","6,491,272","±11,695","415,725","±6,780","6.4%","±0.1","774,298","±5,713","90,072","±3,609","11.6%","±0.5"
"            Employed","6,146,152","±12,841","320,086","±5,411","5.2%","±0.1","706,101","±6,147","64,463","±3,084","9.1%","±0.4"
"                Male","3,194,857","±8,420","132,590","±3,109","4.2%","±0.1","340,472","±4,096","25,136","±1,552","7.4%","±0.5"
"                Female","2,951,295","±7,622","187,496","±3,706","6.4%","±0.1","365,629","±3,800","39,327","±2,193","10.8%","±0.6"
"            Unemployed","345,120","±5,688","95,639","±3,061","27.7%","±0.7","68,197","±3,106","25,609","±1,685","37.6%","±2.1"
"                Male","187,898","±4,341","47,415","±1,974","25.2%","±0.9","37,982","±2,386","13,439","±1,229","35.4%","±2.6"
"                Female","157,222","±3,432","48,224","±1,956","30.7%","±1.1","30,215","±1,865","12,170","±1,129","40.3%","±3.1"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","10,090,977","±2,426","1,088,942","±12,336","10.8%","±0.1","1,235,323","±1,868","256,238","±6,795","20.7%","±0.6"
"            Worked full-time, year-round in the past 12 months","4,433,897","±12,369","88,889","±2,651","2.0%","±0.1","509,609","±6,340","17,812","±1,371","3.5%","±0.3"
"            Worked part-time or part-year in the past 12 months","2,322,786","±10,842","340,843","±5,546","14.7%","±0.2","276,094","±4,840","67,271","±2,794","24.4%","±0.9"
"            Did not work","3,334,294","±10,740","659,210","±8,582","19.8%","±0.2","449,620","±5,484","171,155","±5,312","38.1%","±1.0"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","669,658","±10,987","(X)","(X)","(X)","(X)","166,036","±5,505","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,932,736","±20,656","(X)","(X)","(X)","(X)","434,666","±9,861","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,396,384","±21,955","(X)","(X)","(X)","(X)","514,942","±9,760","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,102,028","±25,164","(X)","(X)","(X)","(X)","620,415","±10,399","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,415,501","±26,199","(X)","(X)","(X)","(X)","663,756","±10,209","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,388,593","±28,350","(X)","(X)","(X)","(X)","903,795","±9,744","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","7,173,681","±27,697","(X)","(X)","(X)","(X)","1,093,832","±8,687","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","8,586,265","±23,575","(X)","(X)","(X)","(X)","1,218,760","±7,793","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,560,285","±11,545","595,717","±7,792","23.3%","±0.3","413,248","±6,301","124,802","±3,912","30.2%","±0.8"
"    Male","1,229,200","±8,406","263,354","±5,098","21.4%","±0.4","198,147","±3,794","56,230","±2,238","28.4%","±0.9"
"    Female","1,331,085","±7,498","332,363","±5,489","25.0%","±0.3","215,101","±4,343","68,572","±2,794","31.9%","±1.0"
"    15 years","2,824","±464","2,797","±468","99.0%","±1.3","491","±287","491","±287","100.0%","±5.4"
"    16 to 17 years","6,861","±691","6,588","±659","96.0%","±1.6","738","±224","698","±228","94.6%","±6.1"
"    18 to 24 years","249,379","±4,618","126,137","±3,525","50.6%","±1.0","36,427","±1,471","20,156","±1,251","55.3%","±2.4"
"    25 to 34 years","511,085","±5,425","87,986","±2,563","17.2%","±0.5","121,977","±2,497","24,124","±1,396","19.8%","±1.1"
"    35 to 44 years","269,329","±5,260","57,030","±2,260","21.2%","±0.7","53,091","±2,335","13,391","±1,356","25.2%","±2.1"
"    45 to 54 years","327,408","±4,250","77,466","±2,477","23.7%","±0.7","51,113","±2,244","17,567","±1,417","34.4%","±2.2"
"    55 to 64 years","440,582","±5,544","111,275","±2,753","25.3%","±0.6","63,222","±1,950","24,448","±1,379","38.7%","±1.8"
"    65 to 74 years","365,020","±4,816","62,855","±2,046","17.2%","±0.5","47,509","±2,210","13,770","±1,136","29.0%","±2.0"
"    75 years and over","387,797","±4,992","63,583","±1,952","16.4%","±0.4","38,680","±1,342","10,157","±896","26.3%","±2.1"
"    Mean income deficit for unrelated individuals (dollars)","7,133","±58","(X)","(X)","(X)","(X)","7,570","±139","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","1,073,806","±8,874","33,587","±1,856","3.1%","±0.2","180,381","±4,324","6,040","±909","3.3%","±0.5"
"    Worked less than full-time, year-round in the past 12 months","523,140","±5,919","188,191","±3,975","36.0%","±0.6","84,234","±2,967","31,831","±1,525","37.8%","±1.6"
