"Label (Grouping)","Pennsylvania!!Households!!Estimate","Pennsylvania!!Households!!Margin of Error","Pennsylvania!!Families!!Estimate","Pennsylvania!!Families!!Margin of Error","Pennsylvania!!Married-couple families!!Estimate","Pennsylvania!!Married-couple families!!Margin of Error","Pennsylvania!!Nonfamily households!!Estimate","Pennsylvania!!Nonfamily households!!Margin of Error","Philadelphia city, Pennsylvania!!Households!!Estimate","Philadelphia city, Pennsylvania!!Households!!Margin of Error","Philadelphia city, Pennsylvania!!Families!!Estimate","Philadelphia city, Pennsylvania!!Families!!Margin of Error","Philadelphia city, Pennsylvania!!Married-couple families!!Estimate","Philadelphia city, Pennsylvania!!Married-couple families!!Margin of Error","Philadelphia city, Pennsylvania!!Nonfamily households!!Estimate","Philadelphia city, Pennsylvania!!Nonfamily households!!Margin of Error"
"Total","5,106,601","±8,064","3,254,545","±8,811","2,423,060","±11,274","1,852,056","±8,143","613,125","±2,185","330,898","±3,778","172,990","±3,039","282,227","±4,109"
"    Less than $10,000","5.8%","±0.1","3.2%","±0.1","1.1%","±0.1","11.3%","±0.2","11.8%","±0.4","7.3%","±0.4","2.5%","±0.3","18.0%","±0.6"
"    $10,000 to $14,999","4.0%","±0.1","2.0%","±0.1","0.9%","±0.1","7.9%","±0.2","6.0%","±0.3","4.6%","±0.4","2.6%","±0.4","7.9%","±0.5"
"    $15,000 to $24,999","8.8%","±0.1","5.1%","±0.1","2.7%","±0.1","16.0%","±0.2","10.7%","±0.4","9.4%","±0.6","5.2%","±0.5","12.7%","±0.5"
"    $25,000 to $34,999","9.0%","±0.1","6.9%","±0.1","4.9%","±0.1","13.3%","±0.2","9.7%","±0.3","9.6%","±0.5","6.4%","±0.5","10.5%","±0.5"
"    $35,000 to $49,999","12.1%","±0.1","10.9%","±0.2","9.1%","±0.2","14.7%","±0.2","12.5%","±0.4","12.9%","±0.5","10.2%","±0.7","12.0%","±0.6"
"    $50,000 to $74,999","17.6%","±0.1","18.0%","±0.2","17.4%","±0.2","16.6%","±0.2","16.1%","±0.5","16.8%","±0.6","15.8%","±0.7","15.2%","±0.7"
"    $75,000 to $99,999","13.2%","±0.1","15.3%","±0.2","16.7%","±0.2","8.7%","±0.2","11.2%","±0.4","12.5%","±0.6","15.5%","±0.8","9.1%","±0.5"
"    $100,000 to $149,999","15.7%","±0.1","19.9%","±0.2","23.7%","±0.2","7.1%","±0.1","11.6%","±0.4","13.6%","±0.5","20.1%","±0.8","8.2%","±0.5"
"    $150,000 to $199,999","6.7%","±0.1","9.0%","±0.1","11.2%","±0.2","2.2%","±0.1","5.1%","±0.2","6.2%","±0.3","10.0%","±0.6","3.4%","±0.3"
"    $200,000 or more","7.1%","±0.1","9.8%","±0.1","12.4%","±0.1","2.1%","±0.1","5.3%","±0.3","7.1%","±0.4","11.9%","±0.5","3.0%","±0.3"
"Median income (dollars)","63,627","±256","80,996","±331","95,778","±364","36,247","±234","49,127","±774","58,090","±1,359","86,667","±1,519","35,827","±778"
"Mean income (dollars)","87,262","±348","105,058","±451","121,189","±492","52,451","±399","72,419","±994","83,963","±1,470","113,790","±2,221","55,901","±1,181"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","36.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","48.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","33.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.7%","(X)"
