"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Labor Force Participation Rate!!Estimate","Pennsylvania!!Labor Force Participation Rate!!Margin of Error","Pennsylvania!!Employment/Population Ratio!!Estimate","Pennsylvania!!Employment/Population Ratio!!Margin of Error","Pennsylvania!!Unemployment rate!!Estimate","Pennsylvania!!Unemployment rate!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Labor Force Participation Rate!!Estimate","Philadelphia city, Pennsylvania!!Labor Force Participation Rate!!Margin of Error","Philadelphia city, Pennsylvania!!Employment/Population Ratio!!Estimate","Philadelphia city, Pennsylvania!!Employment/Population Ratio!!Margin of Error","Philadelphia city, Pennsylvania!!Unemployment rate!!Estimate","Philadelphia city, Pennsylvania!!Unemployment rate!!Margin of Error"
"Population 16 years and over","10,456,049","±2,462","62.8%","±0.1","59.4%","±0.1","5.4%","±0.1","1,272,154","±1,209","61.6%","±0.5","56.1%","±0.5","8.8%","±0.4"
"    AGE","","","","","","","","","","","","","","","",""
"        16 to 19 years","654,199","±2,709","41.2%","±0.4","34.5%","±0.4","16.3%","±0.6","78,270","±1,209","30.4%","±1.7","21.3%","±1.3","29.7%","±2.6"
"        20 to 24 years","811,852","±1,242","73.7%","±0.5","66.3%","±0.6","9.9%","±0.4","111,601","±108","66.0%","±1.5","56.3%","±1.5","14.7%","±1.2"
"        25 to 29 years","861,467","±793","84.7%","±0.3","79.5%","±0.3","6.0%","±0.2","159,858","±88","83.4%","±0.8","76.6%","±1.1","8.1%","±0.9"
"        30 to 34 years","832,349","±749","84.4%","±0.3","79.8%","±0.4","5.3%","±0.3","142,444","±103","84.9%","±0.8","78.1%","±1.2","7.9%","±1.0"
"        35 to 44 years","1,502,764","±1,738","84.0%","±0.3","80.2%","±0.3","4.3%","±0.2","198,540","±138","80.8%","±1.0","74.8%","±1.1","7.4%","±0.8"
"        45 to 54 years","1,651,599","±1,580","82.0%","±0.2","78.8%","±0.3","3.8%","±0.1","180,573","±118","72.9%","±1.0","67.3%","±1.1","7.6%","±0.7"
"        55 to 59 years","920,735","±5,332","75.1%","±0.3","72.2%","±0.4","3.7%","±0.2","92,065","±2,309","64.3%","±1.6","60.3%","±1.7","6.3%","±1.0"
"        60 to 64 years","885,980","±5,161","59.4%","±0.4","57.3%","±0.4","3.5%","±0.2","91,400","±2,311","49.2%","±1.8","46.7%","±1.8","5.1%","±1.0"
"        65 to 74 years","1,317,854","±733","27.3%","±0.3","26.3%","±0.3","3.8%","±0.3","124,965","±143","23.0%","±1.1","21.2%","±1.1","7.7%","±1.7"
