Income Grouping,Phoenix Households,Phoenix Families,Phoenix Married-couple families,Phoenix Nonfamily households
Total,"580,835","370,384","243,958","210,451"
"    Less than $10,000",5.5%,4.1%,1.5%,9.9%
"    $10,000 to $14,999",3.7%,2.3%,1.2%,6.4%
"    $15,000 to $24,999",8.3%,6.7%,4.2%,12.3%
"    $25,000 to $34,999",9.3%,8.1%,5.6%,12.6%
"    $35,000 to $49,999",14.2%,12.9%,10.3%,16.5%
"    $50,000 to $74,999",19.0%,19.0%,18.5%,18.3%
"    $75,000 to $99,999",13.0%,13.9%,15.5%,10.0%
"    $100,000 to $149,999",14.1%,16.7%,20.8%,8.2%
"    $150,000 to $199,999",5.9%,7.6%,10.1%,2.6%
"    $200,000 or more",7.0%,8.7%,12.3%,3.3%
Median income (dollars),"60,914","70,803","88,307","42,310"
Mean income (dollars),"85,527","96,514","117,191","60,382"
PERCENT ALLOCATED,,,,
    Household income in the past 12 months,39.0%,(X),(X),(X)
    Family income in the past 12 months,(X),41.5%,(X),(X)
    Nonfamily income in the past 12 months,(X),(X),(X),32.2%
