Means of Transportation,"Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Male!!Estimate","Maricopa County, Arizona!!Female!!Estimate"
Workers 16 years and over,"2,100,872","1,132,945","967,927"
"        Car, truck, or van",84.4%,84.8%,83.9%
            Drove alone,73.7%,74.5%,72.8%
            Carpooled,10.7%,10.4%,11.1%
                In 2-person carpool,8.2%,7.9%,8.5%
                In 3-person carpool,1.6%,1.5%,1.7%
                In 4-or-more person carpool,1.0%,1.0%,0.9%
"            Workers per car, truck, or van",1.08,1.07,1.08
        Public transportation (excluding taxicab),1.8%,1.7%,1.8%
        Walked,1.5%,1.5%,1.4%
        Bicycle,0.7%,0.9%,0.4%
"        Taxicab, motorcycle, or other means",1.8%,2.2%,1.4%
        Worked from home,9.8%,8.8%,11.0%
        Worked in state of residence,99.0%,98.7%,99.3%
            Worked in county of residence,98.0%,97.6%,98.6%
            Worked outside county of residence,1.0%,1.2%,0.8%
        Worked outside state of residence,1.0%,1.3%,0.7%
        Living in a place,96.1%,95.9%,96.2%
            Worked in place of residence,44.9%,43.5%,46.4%
            Worked outside place of residence,51.2%,52.4%,49.8%
        Not living in a place,3.9%,4.1%,3.8%
        Living in 12 selected states,0.0%,0.0%,0.0%
            Worked in minor civil division of residence,0.0%,0.0%,0.0%
            Worked outside minor civil division of residence,0.0%,0.0%,0.0%
        Not living in 12 selected states,100.0%,100.0%,100.0%
Workers 16 years and over who did not work from home,"1,894,003","1,033,028","860,975"
        12:00 a.m. to 4:59 a.m.,7.8%,10.4%,4.8%
        5:00 a.m. to 5:29 a.m.,5.9%,7.6%,3.9%
        5:30 a.m. to 5:59 a.m.,5.9%,6.8%,4.9%
        6:00 a.m. to 6:29 a.m.,9.8%,10.8%,8.6%
        6:30 a.m. to 6:59 a.m.,9.3%,8.5%,10.4%
        7:00 a.m. to 7:29 a.m.,13.4%,12.2%,14.8%
        7:30 a.m. to 7:59 a.m.,9.4%,7.9%,11.2%
        8:00 a.m. to 8:29 a.m.,10.2%,9.1%,11.4%
        8:30 a.m. to 8:59 a.m.,4.5%,3.9%,5.2%
        9:00 a.m. to 11:59 p.m.,23.7%,22.7%,25.0%
        Less than 10 minutes,9.7%,9.0%,10.5%
        10 to 14 minutes,11.6%,10.7%,12.6%
        15 to 19 minutes,15.0%,14.6%,15.4%
        20 to 24 minutes,16.3%,16.2%,16.3%
        25 to 29 minutes,8.1%,8.2%,8.0%
        30 to 34 minutes,15.7%,16.3%,14.9%
        35 to 44 minutes,8.1%,8.3%,7.8%
        45 to 59 minutes,8.4%,8.5%,8.3%
        60 or more minutes,7.2%,8.1%,6.2%
        Mean travel time to work (minutes),26.5,27.4,25.5
    Workers 16 years and over in households,"2,092,139","1,127,803","964,336"
        No vehicle available,2.5%,2.5%,2.5%
        1 vehicle available,20.7%,18.6%,23.0%
        2 vehicles available,42.1%,42.8%,41.3%
        3 or more vehicles available,34.7%,36.0%,33.2%
    Means of transportation to work,14.2%,(X),(X)
    Private vehicle occupancy,15.9%,(X),(X)
    Place of work,18.8%,(X),(X)
    Time of departure to go to work,27.0%,(X),(X)
    Travel time to work,20.7%,(X),(X)
    Vehicles available,1.4%,(X),(X)
