Age by Educational Attainment,"Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Male!!Estimate","Maricopa County, Arizona!!Female!!Estimate"
    Population 18 to 24 years,"409,391","209,981","199,410"
        Less than high school graduate,"56,172","31,902","24,270"
        High school graduate (includes equivalency),"141,276","76,600","64,676"
        Some college or associate's degree,"167,314","82,048","85,266"
        Bachelor's degree or higher,"44,629","19,431","25,198"
    Population 25 years and over,"2,952,370","1,435,698","1,516,672"
        Less than 9th grade,"155,179","78,952","76,227"
"        9th to 12th grade, no diploma","187,725","93,569","94,156"
        High school graduate (includes equivalency),"659,883","322,794","337,089"
"        Some college, no degree","705,816","334,965","370,851"
        Associate's degree,"257,177","120,078","137,099"
        Bachelor's degree,"621,592","302,291","319,301"
        Graduate or professional degree,"364,998","183,049","181,949"
        High school graduate or higher,"2,609,466","1,263,177","1,346,289"
        Bachelor's degree or higher,"986,590","485,340","501,250"
    Population 25 to 34 years,"645,693","328,786","316,907"
        High school graduate or higher,"580,981","293,001","287,980"
        Bachelor's degree or higher,"211,730","98,238","113,492"
    Population 35 to 44 years,"574,796","287,449","287,347"
        High school graduate or higher,"497,702","246,621","251,081"
        Bachelor's degree or higher,"206,660","96,947","109,713"
    Population 45 to 64 years,"1,060,785","516,978","543,807"
        High school graduate or higher,"929,278","448,948","480,330"
        Bachelor's degree or higher,"349,343","169,935","179,408"
    Population 65 years and over,"671,096","302,485","368,611"
        High school graduate or higher,"601,505","274,607","326,898"
        Bachelor's degree or higher,"218,857","120,220","98,637"
    White alone,"2,275,118","1,107,470","1,167,648"
        High school graduate or higher,"2,063,566","998,692","1,064,874"
        Bachelor's degree or higher,"796,284","394,308","401,976"
"    White alone, not Hispanic or Latino","1,820,840","883,221","937,619"
        High school graduate or higher,"1,738,508","840,854","897,654"
        Bachelor's degree or higher,"726,792","361,831","364,961"
    Black alone,"152,935","75,920","77,015"
        High school graduate or higher,"139,281","69,381","69,900"
        Bachelor's degree or higher,"40,677","19,309","21,368"
    American Indian or Alaska Native alone,"51,070","23,646","27,424"
        High school graduate or higher,"42,255","19,563","22,692"
        Bachelor's degree or higher,"8,574","3,405","5,169"
    Asian alone,"131,605","60,005","71,600"
        High school graduate or higher,"116,712","54,920","61,792"
        Bachelor's degree or higher,"78,940","39,028","39,912"
    Native Hawaiian and Other Pacific Islander alone,"6,256","3,147","3,109"
        High school graduate or higher,"5,430","2,780","2,650"
        Bachelor's degree or higher,"1,541",760,781
    Some other race alone,"183,291","87,160","96,131"
        High school graduate or higher,"115,264","53,455","61,809"
        Bachelor's degree or higher,"20,524","9,094","11,430"
    Two or more races,"152,095","78,350","73,745"
        High school graduate or higher,"126,958","64,386","62,572"
        Bachelor's degree or higher,"40,050","19,436","20,614"
    Hispanic or Latino Origin,"743,080","367,215","375,865"
        High school graduate or higher,"520,583","252,878","267,705"
        Bachelor's degree or higher,"106,806","49,135","57,671"
    Less than high school graduate,(X),(X),(X)
    High school graduate (includes equivalency),(X),(X),(X)
    Some college or associate's degree,(X),(X),(X)
    Bachelor's degree or higher,(X),(X),(X)
    Population 25 years and over with earnings,"42,130","47,395","37,307"
        Less than high school graduate,"25,640","29,024","20,741"
        High school graduate (includes equivalency),"32,143","36,288","27,372"
        Some college or associate's degree,"40,064","45,402","34,627"
        Bachelor's degree,"56,667","70,031","48,773"
        Graduate or professional degree,"72,834","90,706","59,879"
