Income Grouping,"Maricopa County, Arizona!!Households!!Estimate","Maricopa County, Arizona!!Families!!Estimate","Maricopa County, Arizona!!Married-couple families!!Estimate","Maricopa County, Arizona!!Nonfamily households!!Estimate"
Total,"1,596,784","1,047,899","763,885","548,885"
"    Less than $10,000",5.0%,3.4%,1.6%,9.5%
"    $10,000 to $14,999",3.1%,1.9%,1.0%,5.7%
"    $15,000 to $24,999",7.3%,5.4%,3.4%,11.9%
"    $25,000 to $34,999",8.2%,6.6%,4.7%,12.1%
"    $35,000 to $49,999",12.7%,11.3%,9.2%,16.0%
"    $50,000 to $74,999",18.4%,18.1%,17.0%,18.7%
"    $75,000 to $99,999",13.6%,14.8%,15.9%,10.2%
"    $100,000 to $149,999",16.6%,19.5%,22.9%,9.5%
"    $150,000 to $199,999",7.1%,8.9%,11.1%,3.0%
"    $200,000 or more",8.1%,10.2%,13.2%,3.3%
Median income (dollars),"67,799","80,161","95,130","44,511"
Mean income (dollars),"93,108","106,346","123,220","62,472"
PERCENT ALLOCATED,,,,
    Household income in the past 12 months,37.0%,(X),(X),(X)
    Family income in the past 12 months,(X),38.4%,(X),(X)
    Nonfamily income in the past 12 months,(X),(X),(X),32.3%
