"Label (Grouping)","Phoenix city, Arizona!!Estimate","Phoenix city, Arizona!!Margin of Error","Phoenix city, Arizona!!Percent","Phoenix city, Arizona!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","667,691","±7,924","667,691","(X)"
"        Occupied housing units","621,234","±7,614","93.0%","±0.8"
"        Vacant housing units","46,457","±5,287","7.0%","±0.8"
"        Homeowner vacancy rate","0.8","±0.3","(X)","(X)"
"        Rental vacancy rate","5.6","±1.0","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","667,691","±7,924","667,691","(X)"
"        1-unit, detached","397,076","±7,289","59.5%","±1.1"
"        1-unit, attached","32,201","±3,548","4.8%","±0.5"
"        2 units","10,777","±2,147","1.6%","±0.3"
"        3 or 4 units","32,064","±4,210","4.8%","±0.6"
"        5 to 9 units","30,925","±4,028","4.6%","±0.6"
"        10 to 19 units","34,236","±3,837","5.1%","±0.6"
"        20 or more units","113,678","±5,802","17.0%","±0.8"
"        Mobile home","16,141","±2,214","2.4%","±0.3"
"        Boat, RV, van, etc.","593","±377","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","667,691","±7,924","667,691","(X)"
"        Built 2020 or later","19,653","±3,412","2.9%","±0.5"
"        Built 2010 to 2019","69,052","±6,129","10.3%","±0.9"
"        Built 2000 to 2009","115,913","±6,028","17.4%","±0.9"
"        Built 1990 to 1999","85,605","±5,020","12.8%","±0.7"
"        Built 1980 to 1989","110,318","±5,956","16.5%","±0.8"
"        Built 1970 to 1979","114,553","±6,136","17.2%","±0.9"
"        Built 1960 to 1969","57,443","±4,385","8.6%","±0.7"
"        Built 1950 to 1959","62,528","±3,653","9.4%","±0.6"
"        Built 1940 to 1949","18,785","±2,334","2.8%","±0.3"
"        Built 1939 or earlier","13,841","±2,451","2.1%","±0.4"
"ROOMS","","","",""
"    Total housing units","667,691","±7,924","667,691","(X)"
"        1 room","27,031","±3,325","4.0%","±0.5"
"        2 rooms","37,114","±4,440","5.6%","±0.6"
"        3 rooms","84,633","±5,756","12.7%","±0.8"
"        4 rooms","112,783","±6,105","16.9%","±0.9"
"        5 rooms","126,532","±8,061","19.0%","±1.2"
"        6 rooms","107,646","±6,371","16.1%","±1.0"
"        7 rooms","75,698","±6,072","11.3%","±0.9"
"        8 rooms","47,207","±3,643","7.1%","±0.5"
"        9 rooms or more","49,047","±3,527","7.3%","±0.5"
"        Median rooms","5.1","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","667,691","±7,924","667,691","(X)"
"        No bedroom","31,082","±3,733","4.7%","±0.5"
"        1 bedroom","95,200","±6,422","14.3%","±0.9"
"        2 bedrooms","156,556","±7,087","23.4%","±1.1"
"        3 bedrooms","227,498","±6,657","34.1%","±1.0"
"        4 bedrooms","132,600","±6,005","19.9%","±0.9"
"        5 or more bedrooms","24,755","±2,704","3.7%","±0.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        Owner-occupied","348,899","±7,713","56.2%","±1.2"
"        Renter-occupied","272,335","±8,717","43.8%","±1.2"
"        Average household size of owner-occupied unit","2.77","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.40","±0.06","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        Moved in 2021 or later","199,548","±6,455","32.1%","±0.9"
"        Moved in 2018 to 2020","126,074","±6,406","20.3%","±1.0"
"        Moved in 2010 to 2017","146,377","±7,435","23.6%","±1.2"
"        Moved in 2000 to 2009","77,320","±4,367","12.4%","±0.7"
"        Moved in 1990 to 1999","42,252","±3,466","6.8%","±0.6"
"        Moved in 1989 and earlier","29,663","±2,468","4.8%","±0.4"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        No vehicles available","40,822","±4,433","6.6%","±0.7"
"        1 vehicle available","220,568","±8,013","35.5%","±1.1"
"        2 vehicles available","226,439","±7,082","36.4%","±1.0"
"        3 or more vehicles available","133,405","±5,180","21.5%","±0.9"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        Utility gas","141,718","±6,947","22.8%","±1.1"
"        Bottled, tank, or LP gas","8,156","±1,742","1.3%","±0.3"
"        Electricity","454,137","±9,023","73.1%","±1.1"
"        Fuel oil, kerosene, etc.","508","±411","0.1%","±0.1"
"        Coal or coke","407","±662","0.1%","±0.1"
"        Wood","610","±451","0.1%","±0.1"
"        Solar energy","6,489","±1,725","1.0%","±0.3"
"        Other fuel","458","±409","0.1%","±0.1"
"        No fuel used","8,751","±1,768","1.4%","±0.3"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        Lacking complete plumbing facilities","5,597","±1,799","0.9%","±0.3"
"        Lacking complete kitchen facilities","5,408","±1,880","0.9%","±0.3"
"        No telephone service available","10,297","±2,479","1.7%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","621,234","±7,614","621,234","(X)"
"        1.00 or less","582,892","±9,441","93.8%","±0.8"
"        1.01 to 1.50","25,361","±3,828","4.1%","±0.6"
"        1.51 or more","12,981","±2,680","2.1%","±0.4"
"VALUE","","","",""
"    Owner-occupied units","348,899","±7,713","348,899","(X)"
"        Less than $50,000","14,781","±2,465","4.2%","±0.7"
"        $50,000 to $99,999","5,001","±1,198","1.4%","±0.3"
"        $100,000 to $149,999","3,298","±905","0.9%","±0.3"
"        $150,000 to $199,999","5,881","±1,424","1.7%","±0.4"
"        $200,000 to $299,999","34,226","±3,669","9.8%","±1.0"
"        $300,000 to $499,999","152,493","±6,525","43.7%","±1.6"
"        $500,000 to $999,999","110,490","±5,625","31.7%","±1.5"
"        $1,000,000 or more","22,729","±2,243","6.5%","±0.6"
"        Median (dollars)","441,300","±7,487","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","348,899","±7,713","348,899","(X)"
"        Housing units with a mortgage","231,700","±7,272","66.4%","±1.6"
"        Housing units without a mortgage","117,199","±6,388","33.6%","±1.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","231,700","±7,272","231,700","(X)"
"        Less than $500","1,763","±1,010","0.8%","±0.4"
"        $500 to $999","19,774","±2,427","8.5%","±1.0"
"        $1,000 to $1,499","55,569","±3,807","24.0%","±1.5"
"        $1,500 to $1,999","62,888","±4,551","27.1%","±1.8"
"        $2,000 to $2,499","40,975","±4,141","17.7%","±1.7"
"        $2,500 to $2,999","20,242","±2,459","8.7%","±1.0"
"        $3,000 or more","30,489","±3,297","13.2%","±1.3"
"        Median (dollars)","1,795","±42","(X)","(X)"
"    Housing units without a mortgage","117,199","±6,388","117,199","(X)"
"        Less than $250","8,113","±1,654","6.9%","±1.3"
"        $250 to $399","27,825","±2,881","23.7%","±2.1"
"        $400 to $599","34,993","±2,914","29.9%","±2.4"
"        $600 to $799","22,871","±2,882","19.5%","±2.0"
"        $800 to $999","10,428","±1,619","8.9%","±1.3"
"        $1,000 or more","12,969","±2,017","11.1%","±1.6"
"        Median (dollars)","523","±16","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","229,220","±7,154","229,220","(X)"
"        Less than 20.0 percent","121,589","±5,404","53.0%","±1.9"
"        20.0 to 24.9 percent","33,158","±2,923","14.5%","±1.2"
"        25.0 to 29.9 percent","18,177","±2,174","7.9%","±0.9"
"        30.0 to 34.9 percent","14,073","±2,215","6.1%","±1.0"
"        35.0 percent or more","42,223","±3,838","18.4%","±1.5"
"        Not computed","2,480","±1,136","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","115,440","±6,262","115,440","(X)"
"        Less than 10.0 percent","65,353","±5,152","56.6%","±2.7"
"        10.0 to 14.9 percent","17,237","±2,040","14.9%","±1.8"
