"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Male!!Estimate","Arizona!!Male!!Margin of Error","Arizona!!Female!!Estimate","Arizona!!Female!!Margin of Error","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Male!!Estimate","Phoenix city, Arizona!!Male!!Margin of Error","Phoenix city, Arizona!!Female!!Estimate","Phoenix city, Arizona!!Female!!Margin of Error"
"Workers 16 years and over","3,179,988","±9,297","1,706,389","±6,344","1,473,599","±6,906","810,662","±5,053","439,628","±3,454","371,034","±4,042"
"    MEANS OF TRANSPORTATION TO WORK","","","","","","","","","","","",""
"        Car, truck, or van","85.2%","±0.2","85.6%","±0.3","84.7%","±0.3","85.1%","±0.5","85.9%","±0.6","84.2%","±0.7"
"            Drove alone","74.5%","±0.2","75.2%","±0.3","73.8%","±0.3","72.9%","±0.6","73.9%","±0.6","71.7%","±0.9"
"            Carpooled","10.7%","±0.2","10.5%","±0.2","10.9%","±0.3","12.2%","±0.4","12.0%","±0.4","12.5%","±0.7"
"                In 2-person carpool","8.0%","±0.2","7.8%","±0.2","8.2%","±0.2","9.2%","±0.3","8.9%","±0.3","9.6%","±0.5"
"                In 3-person carpool","1.6%","±0.1","1.6%","±0.1","1.7%","±0.2","2.0%","±0.2","2.0%","±0.2","2.0%","±0.4"
"                In 4-or-more person carpool","1.0%","±0.1","1.1%","±0.1","1.0%","±0.1","1.0%","±0.1","1.1%","±0.2","1.0%","±0.2"
"            Workers per car, truck, or van","1.07","±0.01","1.07","±0.01","1.08","±0.01","1.09","±0.01","1.08","±0.01","1.09","±0.01"
"        Public transportation (excluding taxicab)","1.6%","±0.1","1.6%","±0.1","1.6%","±0.1","2.7%","±0.2","2.6%","±0.2","2.9%","±0.2"
"        Walked","1.8%","±0.1","1.9%","±0.1","1.8%","±0.1","1.5%","±0.1","1.5%","±0.2","1.5%","±0.2"
"        Bicycle","0.7%","±0.1","1.0%","±0.1","0.4%","±0.1","0.6%","±0.1","0.8%","±0.1","0.3%","±0.1"
"        Taxicab, motorcycle, or other means","1.8%","±0.1","2.1%","±0.1","1.3%","±0.1","1.8%","±0.1","2.0%","±0.2","1.5%","±0.2"
"        Worked from home","8.9%","±0.2","7.9%","±0.2","10.1%","±0.2","8.3%","±0.3","7.2%","±0.4","9.6%","±0.5"
"    PLACE OF WORK","","","","","","","","","","","",""
"        Worked in state of residence","98.4%","±0.1","98.0%","±0.1","98.8%","±0.1","99.2%","±0.1","99.1%","±0.1","99.4%","±0.1"
"            Worked in county of residence","94.2%","±0.1","93.4%","±0.2","95.1%","±0.2","98.7%","±0.1","98.5%","±0.2","99.0%","±0.2"
"            Worked outside county of residence","4.2%","±0.1","4.7%","±0.1","3.7%","±0.1","0.5%","±0.1","0.6%","±0.1","0.4%","±0.1"
"        Worked outside state of residence","1.6%","±0.1","2.0%","±0.1","1.2%","±0.1","0.8%","±0.1","0.9%","±0.1","0.6%","±0.1"
"        Living in a place","94.1%","±0.1","94.1%","±0.2","94.2%","±0.2","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"            Worked in place of residence","44.8%","±0.2","43.1%","±0.4","46.8%","±0.3","65.5%","±0.5","64.6%","±0.7","66.6%","±0.7"
"            Worked outside place of residence","49.3%","±0.3","51.0%","±0.4","47.4%","±0.3","34.5%","±0.5","35.4%","±0.7","33.4%","±0.7"
"        Not living in a place","5.9%","±0.1","5.9%","±0.2","5.8%","±0.2","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Living in 12 selected states","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked in minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked outside minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Not living in 12 selected states","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"Workers 16 years and over who did not work from home","2,897,654","±9,921","1,572,331","±6,695","1,325,323","±7,675","743,319","±5,207","408,016","±3,573","335,303","±4,092"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","7.8%","±0.1","10.5%","±0.2","4.7%","±0.2","8.4%","±0.3","11.0%","±0.5","5.3%","±0.4"
"        5:00 a.m. to 5:29 a.m.","5.8%","±0.1","7.6%","±0.2","3.6%","±0.1","6.4%","±0.3","8.5%","±0.4","3.8%","±0.3"
"        5:30 a.m. to 5:59 a.m.","6.1%","±0.1","7.2%","±0.2","4.8%","±0.2","5.7%","±0.2","6.6%","±0.4","4.6%","±0.3"
"        6:00 a.m. to 6:29 a.m.","9.4%","±0.2","10.6%","±0.2","8.0%","±0.2","10.1%","±0.3","11.4%","±0.5","8.5%","±0.4"
"        6:30 a.m. to 6:59 a.m.","9.4%","±0.2","8.8%","±0.2","10.2%","±0.3","8.7%","±0.4","7.8%","±0.4","9.7%","±0.5"
"        7:00 a.m. to 7:29 a.m.","13.4%","±0.2","12.1%","±0.2","15.0%","±0.3","13.5%","±0.4","12.0%","±0.4","15.4%","±0.6"
"        7:30 a.m. to 7:59 a.m.","10.4%","±0.2","8.4%","±0.2","12.7%","±0.3","9.1%","±0.4","7.4%","±0.4","11.2%","±0.6"
"        8:00 a.m. to 8:29 a.m.","9.7%","±0.2","8.6%","±0.2","11.0%","±0.3","10.2%","±0.4","9.3%","±0.5","11.4%","±0.6"
"        8:30 a.m. to 8:59 a.m.","4.3%","±0.1","3.7%","±0.1","5.1%","±0.2","4.3%","±0.2","3.6%","±0.3","5.2%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.7%","±0.2","22.6%","±0.3","24.9%","±0.3","23.6%","±0.5","22.4%","±0.6","24.9%","±0.7"
"    TRAVEL TIME TO WORK","","","","","","","","","","","",""
"        Less than 10 minutes","12.1%","±0.2","11.0%","±0.2","13.3%","±0.3","8.8%","±0.3","8.1%","±0.4","9.6%","±0.5"
"        10 to 14 minutes","12.7%","±0.2","11.9%","±0.3","13.8%","±0.3","11.3%","±0.4","10.8%","±0.5","11.9%","±0.5"
"        15 to 19 minutes","15.3%","±0.2","14.9%","±0.3","15.7%","±0.3","15.2%","±0.4","14.7%","±0.6","15.8%","±0.6"
"        20 to 24 minutes","15.3%","±0.2","15.3%","±0.3","15.2%","±0.3","17.7%","±0.5","17.7%","±0.8","17.8%","±0.6"
"        25 to 29 minutes","7.4%","±0.1","7.5%","±0.2","7.4%","±0.2","7.9%","±0.3","7.8%","±0.4","8.1%","±0.5"
"        30 to 34 minutes","14.6%","±0.2","15.2%","±0.3","13.9%","±0.3","17.0%","±0.5","17.5%","±0.6","16.4%","±0.8"
"        35 to 44 minutes","7.5%","±0.1","7.9%","±0.2","7.2%","±0.2","7.9%","±0.3","8.2%","±0.4","7.5%","±0.6"
"        45 to 59 minutes","7.9%","±0.2","8.1%","±0.2","7.6%","±0.2","7.6%","±0.3","7.5%","±0.4","7.7%","±0.4"
"        60 or more minutes","7.1%","±0.1","8.2%","±0.2","5.9%","±0.2","6.6%","±0.3","7.7%","±0.4","5.3%","±0.4"
"        Mean travel time to work (minutes)","25.8","±0.1","26.9","±0.2","24.4","±0.2","26.2","±0.2","27.0","±0.3","25.4","±0.3"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Workers 16 years and over in households","3,155,261","±9,260","1,692,154","±6,354","1,463,107","±6,779","808,060","±5,125","438,074","±3,443","369,986","±4,066"
"        No vehicle available","2.6%","±0.1","2.6%","±0.1","2.5%","±0.1","3.4%","±0.2","3.3%","±0.3","3.4%","±0.3"
"        1 vehicle available","20.7%","±0.3","18.5%","±0.3","23.3%","±0.3","23.5%","±0.6","21.4%","±0.7","26.0%","±0.7"
"        2 vehicles available","41.4%","±0.4","42.3%","±0.4","40.5%","±0.4","40.5%","±0.7","41.1%","±0.8","39.8%","±0.9"
"        3 or more vehicles available","35.3%","±0.4","36.6%","±0.4","33.8%","±0.4","32.6%","±0.8","34.2%","±0.9","30.8%","±0.9"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Means of transportation to work","14.0%","(X)","(X)","(X)","(X)","(X)","14.0%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","15.7%","(X)","(X)","(X)","(X)","(X)","15.8%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","18.0%","(X)","(X)","(X)","(X)","(X)","19.0%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","26.3%","(X)","(X)","(X)","(X)","(X)","27.2%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","20.2%","(X)","(X)","(X)","(X)","(X)","21.2%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)"
