"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Arizona!!Male!!Estimate","Arizona!!Male!!Margin of Error","Arizona!!Percent Male!!Estimate","Arizona!!Percent Male!!Margin of Error","Arizona!!Female!!Estimate","Arizona!!Female!!Margin of Error","Arizona!!Percent Female!!Estimate","Arizona!!Percent Female!!Margin of Error","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Percent!!Estimate","Phoenix city, Arizona!!Percent!!Margin of Error","Phoenix city, Arizona!!Male!!Estimate","Phoenix city, Arizona!!Male!!Margin of Error","Phoenix city, Arizona!!Percent Male!!Estimate","Phoenix city, Arizona!!Percent Male!!Margin of Error","Phoenix city, Arizona!!Female!!Estimate","Phoenix city, Arizona!!Female!!Margin of Error","Phoenix city, Arizona!!Percent Female!!Estimate","Phoenix city, Arizona!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","688,363","±481","(X)","(X)","356,182","±380","(X)","(X)","332,181","±304","(X)","(X)","162,489","±2,971","(X)","(X)","83,118","±2,176","(X)","(X)","79,371","±2,076","(X)","(X)"
"        Less than high school graduate","101,004","±2,692","14.7%","±0.4","57,711","±1,757","16.2%","±0.5","43,293","±1,741","13.0%","±0.5","26,665","±1,587","16.4%","±1.0","15,017","±1,327","18.1%","±1.5","11,648","±882","14.7%","±1.1"
"        High school graduate (includes equivalency)","235,765","±3,805","34.3%","±0.5","129,369","±2,473","36.3%","±0.7","106,396","±2,874","32.0%","±0.9","60,201","±2,245","37.0%","±1.2","32,596","±1,719","39.2%","±1.8","27,605","±1,506","34.8%","±1.6"
"        Some college or associate's degree","288,897","±3,847","42.0%","±0.6","142,169","±2,623","39.9%","±0.7","146,728","±2,408","44.2%","±0.7","61,165","±2,355","37.6%","±1.2","29,136","±1,580","35.1%","±1.7","32,029","±1,539","40.4%","±1.5"
"        Bachelor's degree or higher","62,697","±2,281","9.1%","±0.3","26,933","±1,291","7.6%","±0.4","35,764","±1,887","10.8%","±0.6","14,458","±1,336","8.9%","±0.8","6,369","±787","7.7%","±0.9","8,089","±909","10.2%","±1.1"
"    Population 25 years and over","4,846,056","±558","(X)","(X)","2,372,374","±510","(X)","(X)","2,473,682","±395","(X)","(X)","1,070,083","±4,201","(X)","(X)","527,365","±3,404","(X)","(X)","542,718","±3,351","(X)","(X)"
"        Less than 9th grade","248,570","±4,609","5.1%","±0.1","126,199","±3,091","5.3%","±0.1","122,371","±3,039","4.9%","±0.1","91,151","±3,298","8.5%","±0.3","47,671","±2,523","9.0%","±0.5","43,480","±2,185","8.0%","±0.4"
"        9th to 12th grade, no diploma","339,349","±4,878","7.0%","±0.1","176,328","±3,753","7.4%","±0.2","163,021","±3,940","6.6%","±0.2","91,576","±3,528","8.6%","±0.3","45,070","±1,901","8.5%","±0.4","46,506","±2,800","8.6%","±0.5"
"        High school graduate (includes equivalency)","1,151,988","±9,967","23.8%","±0.2","575,381","±6,659","24.3%","±0.3","576,607","±6,286","23.3%","±0.3","250,418","±5,098","23.4%","±0.5","127,983","±3,034","24.3%","±0.6","122,435","±3,484","22.6%","±0.6"
"        Some college, no degree","1,208,298","±8,408","24.9%","±0.2","576,889","±6,069","24.3%","±0.3","631,409","±5,515","25.5%","±0.2","237,484","±3,980","22.2%","±0.4","115,533","±3,094","21.9%","±0.6","121,951","±2,880","22.5%","±0.5"
"        Associate's degree","429,153","±5,269","8.9%","±0.1","199,953","±3,709","8.4%","±0.2","229,200","±3,800","9.3%","±0.2","84,661","±2,703","7.9%","±0.3","39,914","±1,784","7.6%","±0.3","44,747","±1,854","8.2%","±0.3"
"        Bachelor's degree","911,228","±8,067","18.8%","±0.2","441,178","±5,617","18.6%","±0.2","470,050","±4,815","19.0%","±0.2","198,257","±3,993","18.5%","±0.4","95,235","±2,459","18.1%","±0.5","103,022","±2,805","19.0%","±0.5"
"        Graduate or professional degree","557,470","±7,063","11.5%","±0.1","276,446","±4,213","11.7%","±0.2","281,024","±4,651","11.4%","±0.2","116,536","±3,277","10.9%","±0.3","55,959","±1,958","10.6%","±0.4","60,577","±2,149","11.2%","±0.4"
