"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Below poverty level!!Estimate","Arizona!!Below poverty level!!Margin of Error","Arizona!!Percent below poverty level!!Estimate","Arizona!!Percent below poverty level!!Margin of Error","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Below poverty level!!Estimate","Phoenix city, Arizona!!Below poverty level!!Margin of Error","Phoenix city, Arizona!!Percent below poverty level!!Estimate","Phoenix city, Arizona!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","7,012,999","±3,053","990,528","±12,842","14.1%","±0.2","1,637,410","±2,201","264,738","±7,525","16.2%","±0.5"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","1,609,860","±3,089","321,919","±6,364","20.0%","±0.4","417,296","±4,597","100,268","±4,710","24.0%","±1.1"
"            Under 5 years","422,733","±1,444","91,288","±2,814","21.6%","±0.7","114,602","±2,317","27,484","±1,775","24.0%","±1.5"
"            5 to 17 years","1,187,127","±2,338","230,631","±5,018","19.4%","±0.4","302,694","±4,290","72,784","±3,755","24.0%","±1.2"
"            Related children of householder under 18 years","1,602,398","±3,400","315,060","±6,329","19.7%","±0.4","414,979","±4,843","98,129","±4,836","23.6%","±1.1"
"        18 to 64 years","4,152,856","±532","557,717","±7,655","13.4%","±0.2","1,039,922","±4,532","145,490","±4,122","14.0%","±0.4"
"            18 to 34 years","1,595,793","±1,109","264,546","±5,616","16.6%","±0.4","424,235","±4,716","66,725","±2,559","15.7%","±0.6"
"            35 to 64 years","2,557,063","±1,029","293,171","±5,259","11.5%","±0.2","615,687","±4,332","78,765","±2,906","12.8%","±0.5"
"        60 years and over","1,674,632","±3,970","161,297","±3,499","9.6%","±0.2","263,293","±4,574","30,167","±1,679","11.5%","±0.6"
"        65 years and over","1,250,283","±489","110,892","±2,795","8.9%","±0.2","180,192","±3,322","18,980","±1,090","10.5%","±0.6"
"    SEX","","","","","","","","","","","",""
"        Male","3,456,033","±2,144","456,524","±7,460","13.2%","±0.2","815,614","±3,995","121,367","±3,904","14.9%","±0.5"
"        Female","3,556,966","±2,445","534,004","±7,566","15.0%","±0.2","821,796","±4,618","143,371","±4,992","17.4%","±0.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","5,193,539","±11,653","633,069","±11,144","12.2%","±0.2","1,120,280","±8,679","163,884","±5,648","14.6%","±0.5"
"        Black or African American alone","309,482","±4,354","61,054","±3,643","19.7%","±1.1","115,339","±4,262","27,181","±2,925","23.6%","±2.3"
"        American Indian and Alaska Native alone","301,369","±3,400","95,057","±3,200","31.5%","±1.0","32,576","±2,420","6,963","±1,154","21.4%","±3.2"
"        Asian alone","235,337","±2,942","27,097","±2,038","11.5%","±0.8","63,557","±2,506","6,786","±1,353","10.7%","±2.0"
"        Native Hawaiian and Other Pacific Islander alone","13,559","±646","2,056","±503","15.2%","±3.7","3,117","±600","249","±157","8.0%","±4.9"
"        Some other race alone","468,912","±11,210","96,005","±5,524","20.5%","±1.0","166,321","±6,911","37,328","±3,204","22.4%","±1.8"
"        Two or more races","490,801","±10,851","76,190","±4,134","15.5%","±0.8","136,220","±7,266","22,347","±3,390","16.4%","±2.2"
"        Hispanic or Latino origin (of any race)","2,205,467","±2,552","424,521","±9,444","19.2%","±0.4","698,989","±8,200","151,535","±6,988","21.7%","±1.0"
"        White alone, not Hispanic or Latino","3,812,377","±3,057","364,605","±6,439","9.6%","±0.2","691,980","±7,369","67,840","±3,036","9.8%","±0.4"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","4,767,130","±902","536,776","±7,054","11.3%","±0.1","1,062,120","±4,196","134,748","±3,835","12.7%","±0.4"
"            Less than high school graduate","565,859","±6,059","138,897","±3,240","24.5%","±0.6","180,837","±4,378","45,140","±2,354","25.0%","±1.2"
