"Label (Grouping)","Phoenix city, Arizona!!Households!!Estimate","Phoenix city, Arizona!!Households!!Margin of Error","Phoenix city, Arizona!!Families!!Estimate","Phoenix city, Arizona!!Families!!Margin of Error","Phoenix city, Arizona!!Married-couple families!!Estimate","Phoenix city, Arizona!!Married-couple families!!Margin of Error","Phoenix city, Arizona!!Nonfamily households!!Estimate","Phoenix city, Arizona!!Nonfamily households!!Margin of Error"
"Total","580,835","±3,460","370,384","±3,495","243,958","±3,641","210,451","±3,593"
"    Less than $10,000","5.5%","±0.2","4.1%","±0.3","1.5%","±0.2","9.9%","±0.5"
"    $10,000 to $14,999","3.7%","±0.2","2.3%","±0.2","1.2%","±0.2","6.4%","±0.5"
"    $15,000 to $24,999","8.3%","±0.3","6.7%","±0.3","4.2%","±0.3","12.3%","±0.6"
"    $25,000 to $34,999","9.3%","±0.4","8.1%","±0.4","5.6%","±0.4","12.6%","±0.7"
"    $35,000 to $49,999","14.2%","±0.4","12.9%","±0.4","10.3%","±0.4","16.5%","±0.7"
"    $50,000 to $74,999","19.0%","±0.5","19.0%","±0.6","18.5%","±0.8","18.3%","±0.7"
"    $75,000 to $99,999","13.0%","±0.4","13.9%","±0.5","15.5%","±0.6","10.0%","±0.5"
"    $100,000 to $149,999","14.1%","±0.4","16.7%","±0.5","20.8%","±0.7","8.2%","±0.5"
"    $150,000 to $199,999","5.9%","±0.3","7.6%","±0.4","10.1%","±0.6","2.6%","±0.4"
"    $200,000 or more","7.0%","±0.3","8.7%","±0.4","12.3%","±0.5","3.3%","±0.4"
"Median income (dollars)","60,914","±691","70,803","±892","88,307","±1,269","42,310","±712"
"Mean income (dollars)","85,527","±1,405","96,514","±1,525","117,191","±1,969","60,382","±2,082"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","39.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","41.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.2%","(X)"
