"Label (Grouping)","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Labor Force Participation Rate!!Estimate","Phoenix city, Arizona!!Labor Force Participation Rate!!Margin of Error","Phoenix city, Arizona!!Employment/Population Ratio!!Estimate","Phoenix city, Arizona!!Employment/Population Ratio!!Margin of Error","Phoenix city, Arizona!!Unemployment rate!!Estimate","Phoenix city, Arizona!!Unemployment rate!!Margin of Error"
"Population 16 years and over","1,280,078","±3,820","68.0%","±0.3","64.3%","±0.3","5.4%","±0.3"
"    AGE","","","","","","","",""
"        16 to 19 years","92,424","±2,267","38.9%","±1.5","31.6%","±1.4","18.3%","±1.9"
"        20 to 24 years","117,571","±2,851","80.7%","±1.0","74.1%","±1.2","8.2%","±0.9"
"        25 to 29 years","136,466","±3,188","83.3%","±0.9","78.6%","±1.0","5.6%","±0.6"
"        30 to 34 years","132,157","±2,757","83.3%","±0.9","78.5%","±1.0","5.5%","±1.0"
"        35 to 44 years","229,855","±3,145","81.7%","±0.8","78.3%","±0.8","4.1%","±0.5"
"        45 to 54 years","209,148","±3,114","81.3%","±0.8","77.9%","±0.8","4.0%","±0.5"
"        55 to 59 years","96,681","±2,733","73.4%","±1.2","70.5%","±1.3","3.9%","±0.6"
"        60 to 64 years","83,774","±2,747","58.0%","±1.3","56.2%","±1.3","3.2%","±0.6"
"        65 to 74 years","112,070","±2,610","29.3%","±1.3","28.6%","±1.3","2.6%","±0.6"
"        75 years and over","69,932","±2,057","7.8%","±0.9","7.4%","±0.8","4.7%","±2.0"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        White alone","896,740","±7,441","67.5%","±0.4","64.3%","±0.4","4.7%","±0.3"
"        Black or African American alone","86,149","±3,133","69.8%","±1.3","63.4%","±1.7","8.8%","±1.2"
"        American Indian and Alaska Native alone","24,892","±1,632","69.5%","±2.4","61.2%","±2.7","11.9%","±3.1"
"        Asian alone","51,842","±2,055","66.9%","±2.2","64.4%","±2.1","3.6%","±0.7"
"        Native Hawaiian and Other Pacific Islander alone","2,398","±433","73.9%","±6.9","67.6%","±8.1","6.4%","±4.7"
"        Some other race alone","126,966","±5,577","67.0%","±1.7","63.2%","±1.7","5.5%","±0.6"
"        Two or more races","91,091","±5,027","72.0%","±1.9","66.9%","±1.6","7.0%","±1.3"
"        Hispanic or Latino origin (of any race)","497,273","±6,029","68.8%","±0.6","64.9%","±0.6","5.6%","±0.4"
"        White alone, not Hispanic or Latino","596,521","±6,259","66.9%","±0.5","63.9%","±0.6","4.4%","±0.3"
"Population 20 to 64 years","1,005,652","±4,475","79.2%","±0.3","75.2%","±0.3","4.9%","±0.3"
"    SEX","","","","","","","",""
"        Male","506,201","±3,797","85.1%","±0.4","81.0%","±0.4","4.8%","±0.3"
"        Female","499,451","±3,003","73.1%","±0.5","69.3%","±0.6","5.1%","±0.4"
"            With own children under 18 years","182,107","±3,500","70.2%","±1.1","66.4%","±1.2","5.3%","±0.6"
"                With own children under 6 years only","39,249","±1,641","70.3%","±2.2","66.0%","±2.1","6.1%","±1.2"
"                With own children under 6 years and 6 to 17  years","42,618","±2,036","64.1%","±2.6","59.0%","±2.6","7.6%","±1.8"
"                With own children 6 to 17 years only","100,240","±2,568","72.8%","±1.5","69.7%","±1.6","4.1%","±0.7"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"        Below poverty level","135,881","±3,816","50.4%","±1.2","41.1%","±1.2","18.5%","±1.5"
"        At or above the poverty level","861,732","±5,798","84.3%","±0.4","81.2%","±0.4","3.6%","±0.2"
"    DISABILITY STATUS","","","","","","","",""
"        With any disability","96,228","±2,841","48.1%","±1.5","41.9%","±1.5","12.8%","±1.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 to 64 years","888,081","±3,721","78.9%","±0.4","75.4%","±0.4","4.4%","±0.3"
"        Less than high school graduate","153,828","±4,236","65.9%","±1.2","62.1%","±1.3","5.9%","±0.7"
"        High school graduate (includes equivalency)","206,449","±4,220","74.6%","±0.8","69.8%","±0.8","6.5%","±0.6"
"        Some college or associate's degree","264,888","±3,736","81.4%","±0.7","77.6%","±0.8","4.4%","±0.5"
"        Bachelor's degree or higher","262,916","±4,786","87.5%","±0.6","85.2%","±0.6","2.5%","±0.3"
