,Total Estimate,Male,Female
Workers 16 years and over,"2,100,872","1,132,945","967,927"
"        Car, truck, or van",84.4%,84.8%,83.9%
            Drove alone,73.7%,74.5%,72.8%
            Carpooled,10.7%,10.4%,11.1%
                In 2-person carpool,8.2%,7.9%,8.5%
                In 3-person carpool,1.6%,1.5%,1.7%
                In 4-or-more person carpool,1.0%,1.0%,0.9%
"            Workers per car, truck, or van",1.08,1.07,1.08
        Public transportation (excluding taxicab),1.8%,1.7%,1.8%
        Walked,1.5%,1.5%,1.4%
        Bicycle,0.7%,0.9%,0.4%
"        Taxicab, motorcycle, or other means",1.8%,2.2%,1.4%
        Worked from home,9.8%,8.8%,11.0%
