Age by Educational Attainment,Total,Male,Female
    Population 18 to 24 years,"409,391","209,981","199,410"
        Less than high school graduate,"56,172","31,902","24,270"
        High school graduate (includes equivalency),"141,276","76,600","64,676"
        Some college or associate's degree,"167,314","82,048","85,266"
        Bachelor's degree or higher,"44,629","19,431","25,198"
    Population 25 years and over,"2,952,370","1,435,698","1,516,672"
        Less than 9th grade,"155,179","78,952","76,227"
"        9th to 12th grade, no diploma","187,725","93,569","94,156"
        High school graduate (includes equivalency),"659,883","322,794","337,089"
"        Some college, no degree","705,816","334,965","370,851"
        Associate's degree,"257,177","120,078","137,099"
        Bachelor's degree,"621,592","302,291","319,301"
        Graduate or professional degree,"364,998","183,049","181,949"
        High school graduate or higher,"2,609,466","1,263,177","1,346,289"
        Bachelor's degree or higher,"986,590","485,340","501,250"
    Population 25 to 34 years,"645,693","328,786","316,907"
        High school graduate or higher,"580,981","293,001","287,980"
        Bachelor's degree or higher,"211,730","98,238","113,492"
    Population 35 to 44 years,"574,796","287,449","287,347"
        High school graduate or higher,"497,702","246,621","251,081"
        Bachelor's degree or higher,"206,660","96,947","109,713"
    Population 45 to 64 years,"1,060,785","516,978","543,807"
        High school graduate or higher,"929,278","448,948","480,330"
        Bachelor's degree or higher,"349,343","169,935","179,408"
    Population 65 years and over,"671,096","302,485","368,611"
        High school graduate or higher,"601,505","274,607","326,898"
        Bachelor's degree or higher,"218,857","120,220","98,637"
